https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume BA,Volume USDT,tradecount
1760016600000,2025-10-09,BA,225.70,225.70,215.90,216.00,12974800,2802556800.00,0
1759930200000,2025-10-08,BA,222.73,226.19,221.47,225.32,6189700,1394663249.33,0
1759843800000,2025-10-07,BA,220.11,223.95,219.20,221.82,7610600,1688183347.74,0
1759757400000,2025-10-06,BA,217.87,221.80,215.90,219.73,7665300,1684296336.25,0
1759498200000,2025-10-03,BA,216.75,218.83,215.25,216.30,6634100,1434955850.25,0
1759411800000,2025-10-02,BA,215.45,218.86,215.31,217.43,8281100,1800559512.35,0
1759325400000,2025-10-01,BA,214.01,215.63,213.70,215.20,7178000,1544705578.09,0
1759239000000,2025-09-30,BA,217.10,217.68,212.83,215.83,9289300,2004909636.01,0
1759152600000,2025-09-29,BA,222.37,222.81,215.12,217.08,11290600,2450963468.67,0
1758893400000,2025-09-26,BA,223.36,224.10,219.11,221.26,17281700,3823748847.07,0
1758807000000,2025-09-25,BA,214.87,216.86,211.98,213.53,6649300,1419825020.88,0
1758720600000,2025-09-24,BA,217.56,218.18,214.77,215.10,7354800,1582017524.89,0
1758634200000,2025-09-23,BA,217.12,219.82,214.01,216.34,12760900,2760693059.27,0
1758547800000,2025-09-22,BA,215.17,215.90,211.43,212.09,7467700,1583824465.65,0
1758288600000,2025-09-19,BA,217.73,217.73,213.62,215.65,10513700,2267279340.83,0
1758202200000,2025-09-18,BA,215.23,217.40,213.70,215.66,6414000,1383243263.49,0
1758115800000,2025-09-17,BA,215.59,218.05,213.13,214.63,6019500,1291965314.39,0
1758029400000,2025-09-16,BA,216.86,217.13,213.75,215.02,6330600,1361205639.05,0
1757943000000,2025-09-15,BA,216.25,217.26,214.07,215.75,6896200,1487855150.00,0
1757683800000,2025-09-12,BA,219.89,220.00,215.70,215.94,11094900,2395832733.09,0
1757597400000,2025-09-11,BA,228.00,229.69,219.65,219.99,12010800,2642255957.98,0
1757511000000,2025-09-10,BA,229.60,230.10,226.59,227.52,4949500,1126110261.15,0
1757424600000,2025-09-09,BA,231.01,232.28,228.45,229.52,5510400,1264747031.54,0
1757338200000,2025-09-08,BA,231.70,232.20,228.09,230.95,5955000,1375307231.83,0
1757079000000,2025-09-05,BA,231.80,232.23,225.50,229.61,8203600,1883628601.01,0
1756992600000,2025-09-04,BA,233.01,233.10,229.21,230.75,4093200,944505900.00,0
1756906200000,2025-09-03,BA,237.06,237.06,230.76,232.38,5999000,1394047649.29,0
1756819800000,2025-09-02,BA,231.28,238.33,230.80,237.38,6339100,1504775588.95,0
1756474200000,2025-08-29,BA,236.13,238.05,233.17,234.68,5008600,1175418211.32,0
1756387800000,2025-08-28,BA,235.85,237.35,234.50,236.16,4039600,953991950.79,0
1756301400000,2025-08-27,BA,235.36,236.34,232.40,235.62,4757400,1120938564.77,0
1756215000000,2025-08-26,BA,228.00,234.83,227.98,234.83,7380200,1733092379.51,0
1756128600000,2025-08-25,BA,229.60,230.25,226.60,226.87,4757600,1079356688.77,0
1755869400000,2025-08-22,BA,225.41,233.70,225.24,230.12,8678400,1997073365.62,0
1755783000000,2025-08-21,BA,227.13,227.58,223.71,224.46,6101100,1369452946.96,0
1755696600000,2025-08-20,BA,224.49,226.37,223.60,225.62,5016000,1131709895.51,0
1755610200000,2025-08-19,BA,232.00,232.43,223.75,225.00,9061100,2038747500.00,0
1755523800000,2025-08-18,BA,234.47,235.16,229.11,232.41,8456000,1965258990.97,0
1755264600000,2025-08-15,BA,233.36,236.45,231.43,235.26,6291400,1480114729.44,0
1755178200000,2025-08-14,BA,231.65,233.97,230.86,233.19,5320800,1240757364.99,0
1755091800000,2025-08-13,BA,233.25,235.60,229.33,233.37,6670400,1556671215.43,0
1755005400000,2025-08-12,BA,226.95,232.61,226.46,232.61,7396400,1720476608.51,0
1754919000000,2025-08-11,BA,229.00,229.32,225.17,225.96,4872700,1101035324.71,0
1754659800000,2025-08-08,BA,227.50,230.90,227.38,229.12,4724200,1082408680.93,0
1754573400000,2025-08-07,BA,226.15,230.39,224.58,227.33,4563100,1037329531.36,0
1754487000000,2025-08-06,BA,225.70,226.57,224.04,225.04,3898800,877385925.82,0
1754400600000,2025-08-05,BA,222.37,226.03,221.07,224.86,5687400,1278868767.47,0
1754314200000,2025-08-04,BA,220.15,222.85,218.03,222.34,5997300,1333439660.04,0
1754055000000,2025-08-01,BA,219.45,222.46,215.90,221.90,8572200,1902171127.68,0
1753968600000,2025-07-31,BA,224.02,225.00,221.15,221.84,7825000,1735897971.34,0
1753882200000,2025-07-30,BA,227.84,231.72,224.35,225.84,9354600,2112642829.74,0
1753795800000,2025-07-29,BA,239.50,242.69,225.26,226.08,20163600,4558586724.92,0
1753709400000,2025-07-28,BA,233.24,236.63,232.91,236.41,7923800,1873265587.02,0
1753450200000,2025-07-25,BA,232.02,233.31,228.84,233.06,4628500,1078718198.70,0
1753363800000,2025-07-24,BA,233.91,235.23,231.05,231.27,6160200,1424669480.32,0
1753277400000,2025-07-23,BA,230.32,235.27,229.31,233.88,7302900,1708002287.66,0
1753191000000,2025-07-22,BA,228.30,230.31,225.55,228.48,4737700,1082469675.76,0
1753104600000,2025-07-21,BA,229.40,232.50,228.02,229.32,4183300,959314386.64,0
1752845400000,2025-07-18,BA,231.43,232.25,227.52,229.34,5974500,1370191808.12,0
1752759000000,2025-07-17,BA,230.11,232.59,227.75,231.00,7892600,1823190600.00,0
1752672600000,2025-07-16,BA,232.13,233.57,227.30,229.90,7474300,1718341524.38,0
1752586200000,2025-07-15,BA,230.12,233.61,228.42,230.00,9156800,2106064000.00,0
1752499800000,2025-07-14,BA,231.40,233.04,227.27,230.51,8750200,2017008553.93,0
1752240600000,2025-07-11,BA,225.43,228.74,225.43,226.84,6632000,1504402855.71,0
1752154200000,2025-07-10,BA,226.65,228.50,223.93,226.09,6116600,1382902071.60,0
1752067800000,2025-07-09,BA,220.12,230.20,220.01,226.60,16462300,3730357280.48,0
1751981400000,2025-07-08,BA,219.00,220.00,214.72,218.52,6769600,1479293020.92,0
