https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume JPM,Volume USDT,tradecount
1678372200000,2023-03-09,JPM,136.76,137.35,129.22,130.34,25888100,3374254859.19,0
1678285800000,2023-03-08,JPM,138.00,138.59,136.89,137.80,10002500,1378344530.53,0
1678199400000,2023-03-07,JPM,142.01,142.31,137.81,138.62,11747600,1628452254.64,0
1678113000000,2023-03-06,JPM,143.44,144.04,142.66,142.82,9261300,1322698933.83,0
1677853800000,2023-03-03,JPM,141.51,143.74,141.08,143.66,9513100,1366651980.84,0
1677767400000,2023-03-02,JPM,142.24,142.43,139.54,141.07,11106800,1566836357.35,0
1677681000000,2023-03-01,JPM,142.10,143.46,141.80,142.55,7139200,1017692981.79,0
1677594600000,2023-02-28,JPM,142.94,143.76,141.90,143.35,11019800,1579688397.26,0
1677508200000,2023-02-27,JPM,142.11,143.31,141.72,142.16,10014700,1423689788.67,0
1677249000000,2023-02-24,JPM,139.11,141.36,138.93,140.93,9126900,1286253950.15,0
1677162600000,2023-02-23,JPM,138.73,140.17,137.94,139.67,8068000,1126857545.23,0
1677076200000,2023-02-22,JPM,138.92,139.43,137.44,138.56,11107500,1539055172.88,0
1676989800000,2023-02-21,JPM,140.69,141.34,138.75,139.63,9996300,1395783417.81,0
1676644200000,2023-02-17,JPM,140.98,142.83,140.07,142.24,7948800,1130637355.66,0
1676557800000,2023-02-16,JPM,142.91,143.39,141.68,141.82,8165300,1158002905.80,0
1676471400000,2023-02-15,JPM,141.61,143.89,141.30,143.80,6728300,967529560.53,0
1676385000000,2023-02-14,JPM,142.50,143.81,141.60,143.20,9249400,1324514051.77,0
1676298600000,2023-02-13,JPM,141.30,142.73,140.74,142.57,7134600,1017179974.26,0
1676039400000,2023-02-10,JPM,139.78,141.28,138.59,141.04,6582900,928452171.80,0
1675953000000,2023-02-09,JPM,143.12,143.34,139.87,140.42,6443100,904740090.20,0
1675866600000,2023-02-08,JPM,142.65,144.04,142.28,142.64,6958000,992489115.75,0
1675780200000,2023-02-07,JPM,141.38,144.34,141.18,143.65,10447900,1500840771.23,0
1675693800000,2023-02-06,JPM,140.23,142.24,140.03,141.92,8406200,1193007888.61,0
1675434600000,2023-02-03,JPM,138.18,142.33,138.13,141.09,11501200,1622704265.88,0
1675348200000,2023-02-02,JPM,140.00,140.46,138.00,138.94,11822100,1642562602.86,0
1675261800000,2023-02-01,JPM,138.21,140.88,138.12,139.59,8841800,1234226829.62,0
1675175400000,2023-01-31,JPM,139.88,140.07,138.25,139.96,9188700,1286050513.69,0
1675089000000,2023-01-30,JPM,139.23,140.09,138.91,139.13,6729300,936247541.86,0
1674829800000,2023-01-27,JPM,140.61,141.26,139.75,140.32,7489900,1050982822.86,0
1674743400000,2023-01-26,JPM,139.42,140.06,138.36,139.98,7487600,1048114216.01,0
1674657000000,2023-01-25,JPM,138.05,139.12,137.25,139.12,8967000,1247488996.22,0
1674570600000,2023-01-24,JPM,136.42,140.29,135.00,138.45,6945000,961535228.81,0
1674484200000,2023-01-23,JPM,135.12,137.96,134.82,137.27,10487100,1439564261.81,0
1674225000000,2023-01-20,JPM,135.16,135.49,133.55,135.08,13092500,1768534923.97,0
1674138600000,2023-01-19,JPM,135.32,135.90,133.59,134.75,13303400,1792633150.00,0
1674052200000,2023-01-18,JPM,138.92,140.73,136.41,136.57,13392600,1829027480.09,0
1673965800000,2023-01-17,JPM,141.17,141.54,139.23,140.80,14292900,2012440363.62,0
1673620200000,2023-01-13,JPM,135.60,143.49,134.80,143.01,20200000,2888801889.04,0
1673533800000,2023-01-12,JPM,140.00,140.86,139.22,139.49,11001700,1534627193.43,0
1673447400000,2023-01-11,JPM,138.90,139.75,138.10,139.63,8703700,1215297673.50,0
1673361000000,2023-01-10,JPM,137.79,138.72,137.31,138.60,9048700,1254149875.23,0
1673274600000,2023-01-09,JPM,138.60,138.88,136.88,137.37,8482300,1165213509.58,0
1673015400000,2023-01-06,JPM,136.13,138.38,134.49,137.94,10029100,1383414078.49,0
1672929000000,2023-01-05,JPM,135.66,135.71,133.70,135.35,8381300,1134409006.16,0
1672842600000,2023-01-04,JPM,135.99,137.68,135.57,136.38,11687600,1593954945.07,0
1672756200000,2023-01-03,JPM,135.24,136.74,133.89,135.12,11054800,1493724522.02,0
1672410600000,2022-12-30,JPM,132.81,134.33,132.44,134.10,9292500,1246124306.72,0
