https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ORCL,Volume USDT,tradecount
1696426200000,2023-10-04,ORCL,104.96,107.30,104.50,107.08,8842700,946876332.19,0
1696339800000,2023-10-03,ORCL,106.42,106.50,103.54,104.52,8783300,918030486.52,0
1696253400000,2023-10-02,ORCL,105.81,106.73,105.29,106.71,5963500,636365079.54,0
1695994200000,2023-09-29,ORCL,107.11,107.37,105.38,105.92,7299100,773120658.63,0
1695907800000,2023-09-28,ORCL,104.03,106.60,103.27,106.15,7373600,782707651.25,0
1695821400000,2023-09-27,ORCL,105.00,105.28,103.35,104.62,8916400,932833792.49,0
1695735000000,2023-09-26,ORCL,107.14,107.40,104.31,104.88,13209000,1385359883.72,0
1695648600000,2023-09-25,ORCL,108.45,108.65,107.50,108.30,8410000,910803025.67,0
1695389400000,2023-09-22,ORCL,109.99,110.60,108.51,109.03,11150000,1215684486.39,0
1695303000000,2023-09-21,ORCL,111.51,112.50,109.33,109.43,12645800,1383829897.86,0
1695216600000,2023-09-20,ORCL,112.81,114.70,112.46,112.87,8777100,990671301.11,0
1695130200000,2023-09-19,ORCL,112.48,113.74,111.71,112.77,9536100,1075385964.99,0
1695043800000,2023-09-18,ORCL,113.42,114.47,111.58,112.21,11744100,1317805450.25,0
1694784600000,2023-09-15,ORCL,114.19,115.20,112.50,113.91,23215000,2644420735.02,0
1694698200000,2023-09-14,ORCL,113.50,115.14,111.95,113.66,19849700,2256116974.69,0
1694611800000,2023-09-13,ORCL,108.32,112.94,108.20,111.84,27171000,3038804540.50,0
1694525400000,2023-09-12,ORCL,112.08,113.30,107.30,109.61,68605700,7519870818.87,0
1694439000000,2023-09-11,ORCL,127.02,127.42,124.72,126.71,22155600,2807336055.72,0
1694179800000,2023-09-08,ORCL,124.80,126.69,124.35,126.32,10595500,1338423556.77,0
1694093400000,2023-09-07,ORCL,123.83,125.96,122.59,125.09,11864400,1484117752.55,0
1694007000000,2023-09-06,ORCL,123.06,124.58,122.73,124.33,8728500,1085214420.98,0
1693920600000,2023-09-05,ORCL,122.44,124.28,121.18,123.98,11089600,1374888645.23,0
1693575000000,2023-09-01,ORCL,121.01,121.69,120.09,120.93,6189900,748544608.89,0
1693488600000,2023-08-31,ORCL,121.00,121.98,120.12,120.39,9109800,1096728816.44,0
1693402200000,2023-08-30,ORCL,120.72,121.74,120.15,121.12,5601800,678490031.39,0
1693315800000,2023-08-29,ORCL,120.95,121.21,118.53,120.65,11920500,1438208343.19,0
1693229400000,2023-08-28,ORCL,116.37,117.71,115.70,116.84,4514800,527509215.47,0
1692970200000,2023-08-25,ORCL,112.91,116.15,112.74,116.06,8758100,1016465064.62,0
1692883800000,2023-08-24,ORCL,119.68,119.73,112.41,112.91,11995900,1354457112.93,0
1692797400000,2023-08-23,ORCL,117.10,120.45,112.11,117.84,16517300,1946398571.51,0
1692711000000,2023-08-22,ORCL,117.51,117.68,115.73,116.54,4960300,578073366.54,0
1692624600000,2023-08-21,ORCL,116.90,117.35,115.19,116.59,5811200,677527786.72,0
1692365400000,2023-08-18,ORCL,114.50,116.99,113.95,116.46,9412800,1096214679.38,0
1692279000000,2023-08-17,ORCL,115.74,116.78,114.36,114.88,6183900,710406415.02,0
1692192600000,2023-08-16,ORCL,117.16,117.81,115.27,115.34,5722000,659975459.05,0
1692106200000,2023-08-15,ORCL,115.45,118.06,114.84,117.29,10412200,1221246947.53,0
1692019800000,2023-08-14,ORCL,113.18,115.81,113.15,115.57,6494200,750534692.02,0
1691760600000,2023-08-11,ORCL,112.39,113.48,111.13,113.06,5288900,597963021.09,0
1691674200000,2023-08-10,ORCL,113.78,115.09,112.48,112.99,6004100,678403246.17,0
1691587800000,2023-08-09,ORCL,115.34,115.71,112.33,113.10,6542400,739945430.02,0
1691501400000,2023-08-08,ORCL,115.04,115.61,114.22,115.23,4694800,540981819.76,0
1691415000000,2023-08-07,ORCL,115.47,116.38,115.07,116.10,7347000,852986688.79,0
1691155800000,2023-08-04,ORCL,115.34,116.40,114.26,114.44,5579300,638495105.62,0
1691069400000,2023-08-03,ORCL,115.24,116.17,114.26,114.55,5193800,594949805.85,0
1690983000000,2023-08-02,ORCL,116.92,116.98,114.32,115.71,6387800,739132332.15,0
1690896600000,2023-08-01,ORCL,116.92,118.04,116.48,117.91,5246000,618555879.21,0
1690810200000,2023-07-31,ORCL,116.43,117.24,115.83,117.23,6703100,785804435.50,0
1690551000000,2023-07-28,ORCL,116.68,117.30,115.65,115.99,6910400,801537281.24,0
1690464600000,2023-07-27,ORCL,117.55,117.60,115.64,116.40,7843000,912925211.97,0
1690378200000,2023-07-26,ORCL,117.42,117.62,115.00,115.50,8160000,942480000.00,0
1690291800000,2023-07-25,ORCL,117.98,118.51,116.81,117.95,6266300,739110065.88,0
1690205400000,2023-07-24,ORCL,117.94,118.54,116.73,118.07,6200400,732081226.11,0
1689946200000,2023-07-21,ORCL,116.49,119.27,116.21,117.65,9159600,1077626953.98,0
1689859800000,2023-07-20,ORCL,117.49,119.05,115.23,115.88,12913000,1496358404.53,0
1689773400000,2023-07-19,ORCL,120.82,121.36,118.42,118.69,7609000,903112228.58,0
1689687000000,2023-07-18,ORCL,118.78,121.29,117.81,120.77,8903600,1075287742.11,0
1689600600000,2023-07-17,ORCL,118.85,119.97,118.25,118.89,6735900,800831146.89,0
1689341400000,2023-07-14,ORCL,118.18,119.97,117.68,119.27,7723800,921217600.07,0
1689255000000,2023-07-13,ORCL,117.09,118.58,116.76,117.45,9359600,1099284991.44,0
1689168600000,2023-07-12,ORCL,115.67,118.09,115.64,116.02,11011600,1277565795.03,0
1689082200000,2023-07-11,ORCL,114.20,115.00,113.43,114.88,6117100,702732431.20,0
1688995800000,2023-07-10,ORCL,114.28,115.03,113.66,114.38,6931000,792767760.96,0
1688736600000,2023-07-07,ORCL,114.84,115.98,114.49,114.61,7001600,802453380.27,0
1688650200000,2023-07-06,ORCL,114.67,115.81,114.64,115.45,7982800,921614235.64,0
1688563800000,2023-07-05,ORCL,116.52,117.01,115.41,115.96,8466500,981775332.25,0
1688391000000,2023-07-03,ORCL,118.01,118.25,116.83,117.15,4284700,501952611.54,0
1688131800000,2023-06-30,ORCL,119.84,121.73,119.03,119.09,13703100,1631902128.82,0
1688045400000,2023-06-29,ORCL,115.65,117.80,114.63,117.78,9234300,1087615842.73,0
1687959000000,2023-06-28,ORCL,116.78,118.62,116.39,116.53,9240500,1076795453.72,0
1687872600000,2023-06-27,ORCL,116.57,118.46,116.26,117.84,6970400,821391910.47,0
1687786200000,2023-06-26,ORCL,117.99,119.43,116.70,116.78,8987000,1049501849.03,0
1687527000000,2023-06-23,ORCL,119.59,119.90,118.14,118.64,19734300,2341277339.96,0
1687440600000,2023-06-22,ORCL,121.61,122.59,120.07,120.58,12203400,1471485994.35,0
1687354200000,2023-06-21,ORCL,121.95,123.36,120.36,122.10,17583000,2146884273.17,0
1687267800000,2023-06-20,ORCL,124.45,125.25,121.96,122.04,16273000,1985956934.90,0
1686922200000,2023-06-16,ORCL,127.14,127.40,125.15,125.46,19514700,2448314244.13,0
1686835800000,2023-06-15,ORCL,121.95,127.54,121.66,126.55,27476700,3477176468.85,0
