https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume UBER,Volume USDT,tradecount
1682947800000,2023-05-01,UBER,32.00,33.00,31.76,32.74,49867100,1632648937.70,0
1682688600000,2023-04-28,UBER,29.62,31.27,29.42,31.05,28516100,885424883.24,0
1682602200000,2023-04-27,UBER,30.07,30.17,29.22,29.70,27293700,810622910.82,0
1682515800000,2023-04-26,UBER,29.70,30.12,29.47,29.68,14277100,423744332.36,0
1682429400000,2023-04-25,UBER,30.34,30.47,29.55,29.59,20399200,603612331.11,0
1682343000000,2023-04-24,UBER,30.68,31.06,30.23,30.68,14596200,447811420.45,0
1682083800000,2023-04-21,UBER,31.36,31.46,29.71,30.83,40543100,1249943769.91,0
1681997400000,2023-04-20,UBER,31.52,32.04,31.40,31.50,12747100,401533650.00,0
1681911000000,2023-04-19,UBER,31.35,32.37,31.16,32.04,13822000,442856892.65,0
1681824600000,2023-04-18,UBER,32.37,32.93,31.61,31.73,18698600,593306569.44,0
1681738200000,2023-04-17,UBER,32.19,32.19,31.63,32.08,25206200,808614942.15,0
1681479000000,2023-04-14,UBER,31.31,31.62,30.93,31.48,11851900,373097806.57,0
1681392600000,2023-04-13,UBER,30.83,31.59,30.69,31.44,15079600,474102632.05,0
1681306200000,2023-04-12,UBER,31.19,31.45,30.40,30.59,15964900,488366293.44,0
1681219800000,2023-04-11,UBER,31.75,31.80,30.88,31.12,16906500,526130294.19,0
1681133400000,2023-04-10,UBER,30.96,31.78,30.61,31.74,16463100,522538790.23,0
1680787800000,2023-04-06,UBER,30.93,31.49,30.50,31.18,14486900,451701546.42,0
1680701400000,2023-04-05,UBER,30.95,31.24,30.47,31.12,17243300,536611510.47,0
1680615000000,2023-04-04,UBER,31.94,32.13,31.28,31.39,15146900,475461181.76,0
1680528600000,2023-04-03,UBER,31.50,31.75,31.17,31.46,23529100,740225464.46,0
1680269400000,2023-03-31,UBER,31.42,31.84,31.21,31.70,14824600,469939831.31,0
1680183000000,2023-03-30,UBER,31.50,31.85,30.88,31.19,16261300,507189955.68,0
1680096600000,2023-03-29,UBER,30.62,30.90,30.20,30.87,18917500,583983240.88,0
1680010200000,2023-03-28,UBER,30.53,30.86,29.98,30.07,23087300,694235103.95,0
1679923800000,2023-03-27,UBER,31.03,31.04,30.14,30.62,17918000,548649175.04,0
1679664600000,2023-03-24,UBER,30.94,31.15,30.29,30.75,14775300,454340475.00,0
1679578200000,2023-03-23,UBER,31.88,32.20,30.75,31.18,16806900,524039147.13,0
1679491800000,2023-03-22,UBER,32.58,32.72,31.50,31.52,24636400,776539339.28,0
1679405400000,2023-03-21,UBER,32.33,33.14,32.23,32.86,19780200,649977384.07,0
1679319000000,2023-03-20,UBER,31.60,32.36,31.46,31.93,14157800,452058558.32,0
1679059800000,2023-03-17,UBER,32.38,32.47,31.51,31.78,27102500,861317468.61,0
1678973400000,2023-03-16,UBER,31.59,32.90,31.55,32.73,20044700,656063021.82,0
1678887000000,2023-03-15,UBER,31.83,32.24,31.39,31.97,28434900,909063733.48,0
1678800600000,2023-03-14,UBER,32.94,33.42,32.16,32.36,34241800,1108064668.90,0
1678714200000,2023-03-13,UBER,30.58,31.08,29.97,30.82,24302600,749006124.58,0
1678458600000,2023-03-10,UBER,32.00,32.03,30.77,31.11,32553600,1012742515.87,0
1678372200000,2023-03-09,UBER,34.41,34.52,32.28,32.32,27629700,892991895.57,0
1678285800000,2023-03-08,UBER,34.01,34.63,33.52,34.01,16174300,550087915.85,0
1678199400000,2023-03-07,UBER,33.85,35.00,33.60,34.14,25538400,871880960.41,0
1678113000000,2023-03-06,UBER,34.58,35.11,33.85,33.88,18903000,640433660.19,0
1677853800000,2023-03-03,UBER,34.00,34.59,33.80,34.57,14990400,518218123.43,0
1677767400000,2023-03-02,UBER,32.54,33.80,32.23,33.69,17967400,605321681.33,0
1677681000000,2023-03-01,UBER,33.43,33.58,32.89,32.99,14404700,475211077.18,0
1677594600000,2023-02-28,UBER,33.75,34.00,33.17,33.26,17144000,570209411.22,0
1677508200000,2023-02-27,UBER,33.67,33.85,33.06,33.55,19079100,640103790.44,0
1677249000000,2023-02-24,UBER,33.70,33.92,33.02,33.40,19101000,637973429.15,0
1677162600000,2023-02-23,UBER,34.79,34.80,33.70,34.47,23661700,815618827.88,0
1677076200000,2023-02-22,UBER,34.35,35.17,34.22,34.54,23294000,804574781.33,0
1676989800000,2023-02-21,UBER,33.78,34.39,33.49,34.20,24696800,844630578.84,0
1676644200000,2023-02-17,UBER,35.96,36.23,34.57,34.77,27946700,971706771.79,0
1676557800000,2023-02-16,UBER,35.60,36.73,35.45,36.22,28202700,1021501828.43,0
1676471400000,2023-02-15,UBER,35.01,36.24,34.72,36.23,31443800,1139208859.61,0
1676385000000,2023-02-14,UBER,33.11,35.36,32.72,35.23,38856500,1368914477.21,0
1676298600000,2023-02-13,UBER,34.50,34.52,33.35,33.44,35043700,1171861279.87,0
1676039400000,2023-02-10,UBER,34.40,35.40,34.05,34.30,41936400,1438418488.01,0
1675953000000,2023-02-09,UBER,36.89,37.36,35.65,35.89,44068500,1581618438.10,0
1675866600000,2023-02-08,UBER,37.43,37.58,34.50,36.83,109597800,4036487174.68,0
1675780200000,2023-02-07,UBER,33.66,35.06,33.41,34.90,59374000,2072152690.60,0
1675693800000,2023-02-06,UBER,33.53,34.21,32.90,33.90,33594900,1138867161.26,0
1675434600000,2023-02-03,UBER,32.17,33.95,32.15,33.09,25804900,853884144.94,0
1675348200000,2023-02-02,UBER,32.42,33.47,32.42,33.05,32045500,1059103750.55,0
1675261800000,2023-02-01,UBER,30.88,31.85,30.64,31.49,21206400,667789531.15,0
1675175400000,2023-01-31,UBER,29.75,30.96,29.74,30.93,15611500,482863699.76,0
1675089000000,2023-01-30,UBER,30.20,30.54,29.59,29.63,17969700,532442195.92,0
1674829800000,2023-01-27,UBER,29.70,30.60,29.50,30.36,18224000,553280651.12,0
1674743400000,2023-01-26,UBER,30.53,30.65,29.31,30.02,25383600,762015683.62,0
1674657000000,2023-01-25,UBER,29.22,30.40,28.80,30.29,14488100,438844562.26,0
1674570600000,2023-01-24,UBER,28.51,31.20,28.51,29.93,14464400,432919496.41,0
1674484200000,2023-01-23,UBER,30.63,31.11,30.26,30.53,22041100,672914798.13,0
1674225000000,2023-01-20,UBER,29.30,30.39,29.12,30.36,23008700,698544146.04,0
1674138600000,2023-01-19,UBER,28.47,29.28,28.34,29.03,15651500,454363055.75,0
1674052200000,2023-01-18,UBER,29.95,30.09,28.89,28.96,25257200,731448488.88,0
1673965800000,2023-01-17,UBER,29.44,29.78,28.95,29.20,20816500,607841815.88,0
1673620200000,2023-01-13,UBER,28.68,29.50,28.66,29.44,16940700,498734217.05,0
1673533800000,2023-01-12,UBER,28.85,29.18,28.20,29.03,17513400,508414014.03,0
1673447400000,2023-01-11,UBER,28.24,28.52,27.92,28.35,15421700,437205200.88,0
1673361000000,2023-01-10,UBER,27.40,28.25,27.15,28.04,15413700,432200162.11,0
1673274600000,2023-01-09,UBER,27.30,28.05,27.15,27.40,24962100,683961530.48,0
1673015400000,2023-01-06,UBER,25.86,26.54,25.40,26.40,19443800,513316312.58,0
1672929000000,2023-01-05,UBER,25.73,26.01,25.55,25.55,9942000,254018092.41,0
1672842600000,2023-01-04,UBER,25.73,25.97,25.32,25.91,14816000,383882557.74,0
1672756200000,2023-01-03,UBER,25.37,25.75,25.02,25.36,22155300,561858421.52,0
1672410600000,2022-12-30,UBER,24.42,24.85,24.24,24.73,20474100,506324483.63,0
1672324200000,2022-12-29,UBER,24.75,25.38,24.29,24.91,17828300,444102950.28,0
1672237800000,2022-12-28,UBER,24.21,24.72,24.02,24.59,15669200,385305630.39,0
1672151400000,2022-12-27,UBER,24.29,24.70,23.90,24.40,15258600,372309834.18,0
1671805800000,2022-12-23,UBER,24.46,24.73,24.16,24.64,11610000,286070392.91,0
1671719400000,2022-12-22,UBER,24.93,25.10,24.04,24.64,23752700,585266513.50,0
1671633000000,2022-12-21,UBER,25.15,25.67,24.87,25.36,20444500,518472532.48,0
1671546600000,2022-12-20,UBER,24.72,25.28,24.61,24.96,28536500,712271013.87,0
1671460200000,2022-12-19,UBER,26.02,26.02,24.69,24.95,35616100,888621722.17,0
1671201000000,2022-12-16,UBER,26.06,26.45,25.66,25.97,22684200,589108658.42,0
1671114600000,2022-12-15,UBER,26.98,27.11,25.88,26.24,19377800,508473467.56,0
1671028200000,2022-12-14,UBER,27.07,27.82,26.77,27.47,19427300,533667917.66,0
1670941800000,2022-12-13,UBER,28.03,28.45,26.91,26.98,27635400,745603079.35,0
1670855400000,2022-12-12,UBER,26.42,27.23,26.11,27.03,16483600,445551719.32,0
1670596200000,2022-12-09,UBER,26.40,26.96,26.24,26.55,14253500,378430414.13,0
1670509800000,2022-12-08,UBER,26.52,27.03,26.28,26.45,14909600,394358931.38,0
1670423400000,2022-12-07,UBER,26.61,26.87,26.02,26.40,21193900,559518951.92,0
1670337000000,2022-12-06,UBER,27.70,27.86,26.70,26.92,19772900,532286469.51,0
1670250600000,2022-12-05,UBER,28.41,28.86,27.65,27.70,17486300,484370523.34,0
1669991400000,2022-12-02,UBER,27.38,28.78,27.19,28.75,15980500,459439375.00,0
1669905000000,2022-12-01,UBER,29.22,29.60,28.30,28.34,18066600,512007446.76,0
1669818600000,2022-11-30,UBER,27.80,29.14,27.64,29.14,18177000,529677768.91,0
1669732200000,2022-11-29,UBER,28.05,28.23,27.58,27.76,15007800,416616531.44,0
1669645800000,2022-11-28,UBER,28.11,28.66,27.73,27.76,11120000,308691202.55,0
1669386600000,2022-11-25,UBER,28.71,28.88,28.24,28.50,5200400,148211400.00,0
1669213800000,2022-11-23,UBER,28.36,28.94,28.14,28.79,12964900,373259482.87,0
1669127400000,2022-11-22,UBER,28.27,28.33,27.31,28.08,20368600,571950286.45,0
1669041000000,2022-11-21,UBER,28.52,28.71,28.01,28.25,16159400,456503050.00,0
1668781800000,2022-11-18,UBER,29.21,29.41,28.70,28.96,15676300,453985633.65,0
1668695400000,2022-11-17,UBER,29.10,29.50,28.40,28.88,22684100,655116788.96,0
1668609000000,2022-11-16,UBER,30.95,31.16,29.83,30.04,26540200,797267632.30,0
1668522600000,2022-11-15,UBER,30.25,31.82,30.00,31.57,43066500,1359609391.86,0
1668436200000,2022-11-14,UBER,28.85,29.70,28.79,29.07,24426200,710069626.55,0
1668177000000,2022-11-11,UBER,28.95,30.43,28.70,29.15,35861100,1045351051.32,0
1668090600000,2022-11-10,UBER,28.38,29.32,28.10,28.85,35196900,1015430578.43,0
1668004200000,2022-11-09,UBER,27.31,28.00,26.44,26.55,21186300,562496248.84,0
1667917800000,2022-11-08,UBER,27.57,28.33,26.82,27.44,27033900,741810230.44,0
1667831400000,2022-11-07,UBER,28.70,28.83,27.61,27.69,19204100,531761539.26,0
1667568600000,2022-11-04,UBER,29.44,29.73,28.04,28.39,22304200,633216224.39,0
1667482200000,2022-11-03,UBER,28.03,29.52,27.71,28.73,28033200,805393823.17,0
1667395800000,2022-11-02,UBER,29.57,30.16,28.63,28.81,37083500,1068375615.20,0
1667309400000,2022-11-01,UBER,30.07,31.00,29.12,29.75,87994000,2617821500.00,0
1667223000000,2022-10-31,UBER,27.61,27.73,26.30,26.57,37327000,991778378.61,0
1666963800000,2022-10-28,UBER,27.81,27.88,26.49,27.50,27116700,745709250.00,0
1666877400000,2022-10-27,UBER,28.40,28.76,27.66,27.82,16768600,466502446.88,0
1666791000000,2022-10-26,UBER,28.17,28.98,27.86,28.20,17315900,488308393.21,0
1666704600000,2022-10-25,UBER,28.00,28.55,27.33,28.36,17366400,492511114.60,0
1666618200000,2022-10-24,UBER,27.71,27.98,26.51,27.65,19194200,530719622.68,0
1666359000000,2022-10-21,UBER,27.50,28.43,27.16,28.02,20651600,578657841.45,0
1666272600000,2022-10-20,UBER,27.32,28.68,27.24,27.87,20835300,580679828.49,0
1666186200000,2022-10-19,UBER,27.06,27.73,26.85,27.53,15428500,424746615.59,0
1666099800000,2022-10-18,UBER,27.07,27.71,26.50,27.61,25643300,708011528.65,0
1666013400000,2022-10-17,UBER,25.26,26.26,25.08,25.94,25074900,650442919.39,0
1665754200000,2022-10-14,UBER,25.65,26.07,24.66,24.71,22540000,556963379.36,0
1665667800000,2022-10-13,UBER,24.47,26.02,24.19,25.00,32838500,820962500.00,0
1665581400000,2022-10-12,UBER,25.05,26.11,24.56,25.98,30945900,803974467.83,0
1665495000000,2022-10-11,UBER,25.55,26.05,22.94,24.66,92468800,2280280593.89,0
1665408600000,2022-10-10,UBER,28.24,28.45,27.23,27.53,13413500,369273664.21,0
1665149400000,2022-10-07,UBER,28.83,28.86,27.92,28.07,19690200,552703907.99,0
1665063000000,2022-10-06,UBER,29.20,30.24,28.96,29.73,25399500,755127123.37,0
1664976600000,2022-10-05,UBER,28.48,29.65,28.31,29.18,21458500,626159036.55,0
1664890200000,2022-10-04,UBER,27.62,29.25,27.60,29.19,25462200,743241631.60,0
1664803800000,2022-10-03,UBER,26.76,26.90,25.96,26.72,19940800,532818162.31,0
1664544600000,2022-09-30,UBER,26.16,27.31,26.16,26.50,23894900,633214850.00,0
1664458200000,2022-09-29,UBER,27.66,27.72,26.00,26.42,26160700,691165696.00,0
1664371800000,2022-09-28,UBER,27.43,28.16,27.19,28.04,21290400,596982835.49,0
1664285400000,2022-09-27,UBER,27.67,28.49,27.16,27.57,22392800,617369489.17,0
1664199000000,2022-09-26,UBER,27.71,28.16,26.82,26.89,24953800,671007666.77,0
1663939800000,2022-09-23,UBER,28.01,28.34,27.36,27.82,26472600,736467723.92,0
1663853400000,2022-09-22,UBER,30.19,30.19,28.53,28.58,29038100,829908895.78,0
1663767000000,2022-09-21,UBER,31.45,31.67,30.35,30.47,22328400,680346332.67,0
1663680600000,2022-09-20,UBER,31.49,32.56,31.19,31.49,23652400,744814070.59,0
1663594200000,2022-09-19,UBER,31.44,31.98,31.06,31.49,22867600,720100718.77,0
1663335000000,2022-09-16,UBER,30.96,32.15,30.88,31.93,50970700,1627494466.56,0
1663248600000,2022-09-15,UBER,32.95,34.33,32.74,33.13,41849100,1386460727.70,0
1663162200000,2022-09-14,UBER,31.25,33.14,31.10,33.05,34493400,1140006843.68,0
1663075800000,2022-09-13,UBER,30.69,31.78,30.22,31.32,29364700,919702395.04,0
1662989400000,2022-09-12,UBER,31.95,32.62,31.85,32.50,29349900,953871750.00,0
1662730200000,2022-09-09,UBER,31.00,32.05,30.89,31.78,28055900,891616521.26,0
1662643800000,2022-09-08,UBER,29.42,30.90,29.29,30.68,29393500,901792588.97,0
1662557400000,2022-09-07,UBER,28.91,30.15,28.82,30.03,20632200,619584980.17,0
1662471000000,2022-09-06,UBER,29.34,29.37,28.28,28.89,20422800,590014679.53,0
1662125400000,2022-09-02,UBER,29.50,29.64,28.65,29.05,14604400,424257808.86,0
1662039000000,2022-09-01,UBER,28.17,28.95,27.69,28.92,17828100,515588653.36,0
1661952600000,2022-08-31,UBER,29.11,29.88,28.75,28.76,20740700,596502536.75,0
1661866200000,2022-08-30,UBER,29.18,29.29,28.12,28.71,24409300,700790980.65,0
1661779800000,2022-08-29,UBER,28.10,29.19,28.06,28.74,17245100,495624170.05,0
1661520600000,2022-08-26,UBER,29.51,29.71,28.36,28.58,16490800,471307062.74,0
1661434200000,2022-08-25,UBER,28.89,29.64,28.81,29.62,15470900,458248070.98,0
1661347800000,2022-08-24,UBER,27.93,29.22,27.85,28.71,20022500,574845956.67,0
1661261400000,2022-08-23,UBER,28.06,28.67,27.75,27.81,24298300,675735710.02,0
1661175000000,2022-08-22,UBER,28.34,28.81,27.87,28.00,20233100,566526800.00,0
1660915800000,2022-08-19,UBER,29.50,29.57,28.63,29.01,24180900,701487914.53,0
1660829400000,2022-08-18,UBER,30.56,30.62,29.86,30.15,20831600,628072732.05,0
1660743000000,2022-08-17,UBER,31.65,31.71,30.44,30.72,24239400,744634351.36,0
1660656600000,2022-08-16,UBER,32.08,32.72,31.33,32.38,28072300,908981103.98,0
1660570200000,2022-08-15,UBER,32.10,32.91,31.93,32.49,14149200,459707531.75,0
1660311000000,2022-08-12,UBER,32.59,32.76,31.70,32.47,21950700,712739255.80,0
1660224600000,2022-08-11,UBER,33.16,33.36,32.04,32.24,24624600,793897145.33,0
1660138200000,2022-08-10,UBER,32.44,33.19,32.23,32.80,31318100,1027233656.11,0
1660051800000,2022-08-09,UBER,31.37,31.55,30.72,31.06,27042900,839952459.56,0
1659965400000,2022-08-08,UBER,32.33,32.96,31.66,31.85,28064900,893867075.71,0
1659706200000,2022-08-05,UBER,31.20,32.63,31.04,32.01,39963600,1279234768.92,0
1659619800000,2022-08-04,UBER,29.78,32.23,29.60,31.85,55573600,1770019181.20,0
1659533400000,2022-08-03,UBER,29.72,31.43,29.36,30.19,62061200,1873627661.14,0
1659447000000,2022-08-02,UBER,28.49,29.43,27.10,29.25,107926300,3156844275.00,0
1659360600000,2022-08-01,UBER,23.43,24.62,22.89,24.60,46960700,1155233237.91,0
1659101400000,2022-07-29,UBER,23.18,23.49,22.39,23.45,29406600,689584792.44,0
1659015000000,2022-07-28,UBER,22.89,23.42,22.14,23.31,22886100,533474978.78,0
1658928600000,2022-07-27,UBER,23.00,23.32,22.49,23.09,28384300,655393491.33,0
1658842200000,2022-07-26,UBER,23.15,23.15,22.45,22.55,24402800,550283121.38,0
1658755800000,2022-07-25,UBER,23.27,23.54,22.63,23.35,12923000,301752054.93,0
1658496600000,2022-07-22,UBER,24.33,24.81,23.08,23.30,20209400,470879004.58,0
1658410200000,2022-07-21,UBER,24.02,24.25,23.60,24.23,18425400,446447433.57,0
1658323800000,2022-07-20,UBER,22.89,24.22,22.81,24.12,27844600,671611775.37,0
1658237400000,2022-07-19,UBER,22.75,23.08,22.19,22.67,23148900,524785564.77,0
1658151000000,2022-07-18,UBER,22.17,23.20,22.11,22.58,30935900,698532619.64,0
1657891800000,2022-07-15,UBER,21.00,21.78,20.76,21.67,24503600,530993013.87,0
1657805400000,2022-07-14,UBER,21.25,21.47,20.59,20.65,31561700,651749092.96,0
1657719000000,2022-07-13,UBER,20.93,21.61,20.72,21.50,18994900,408390350.00,0
1657632600000,2022-07-12,UBER,21.28,21.78,20.98,21.57,17373500,374746389.70,0
1657546200000,2022-07-11,UBER,21.95,22.25,21.14,21.19,17546900,371818820.37,0
1657287000000,2022-07-08,UBER,22.43,22.96,21.83,22.34,20231300,451967245.09,0
1657200600000,2022-07-07,UBER,21.64,22.76,21.61,22.74,23121900,525792000.71,0
1657114200000,2022-07-06,UBER,21.50,22.08,21.32,21.50,32689400,702822100.00,0
1657027800000,2022-07-05,UBER,21.17,22.55,20.83,22.52,24500300,551746767.22,0
1656682200000,2022-07-01,UBER,20.70,21.37,20.43,21.34,20693300,441595025.16,0
1656595800000,2022-06-30,UBER,21.11,21.13,19.90,20.46,30882500,631855921.73,0
1656509400000,2022-06-29,UBER,22.11,22.15,21.08,21.47,30704800,659232034.92,0
1656423000000,2022-06-28,UBER,22.97,23.46,22.04,22.08,24350100,537650206.14,0
1656336600000,2022-06-27,UBER,23.45,23.64,22.34,22.86,27153400,620726740.57,0
1656077400000,2022-06-24,UBER,22.48,23.19,22.30,23.03,38140100,878366529.19,0
1655991000000,2022-06-23,UBER,21.63,22.44,21.39,22.37,27010500,604224907.67,0
1655904600000,2022-06-22,UBER,21.41,22.21,21.30,21.50,32314400,694759600.00,0
1655818200000,2022-06-21,UBER,22.00,22.46,21.69,21.76,35257700,767207560.07,0
1655472600000,2022-06-17,UBER,20.37,21.96,20.37,21.81,46728400,1019146379.04,0
1655386200000,2022-06-16,UBER,21.04,21.40,20.16,20.47,55312400,1132244790.02,0
1655299800000,2022-06-15,UBER,21.34,22.39,21.24,22.03,36073700,794703635.77,0
1655213400000,2022-06-14,UBER,21.72,21.95,20.89,21.09,43006300,907002873.56,0
1655127000000,2022-06-13,UBER,22.22,22.58,21.34,21.57,33130300,714620560.89,0
1654867800000,2022-06-10,UBER,24.80,24.97,23.65,23.72,29868000,708468939.49,0
1654781400000,2022-06-09,UBER,25.94,26.69,25.35,25.44,42063600,1070098006.46,0
1654695000000,2022-06-08,UBER,25.70,26.55,25.30,25.83,31225300,806549496.62,0
1654608600000,2022-06-07,UBER,24.20,25.70,24.07,25.30,27453700,694578589.05,0
1654522200000,2022-06-06,UBER,24.86,25.43,24.28,24.73,29834700,737812117.34,0
1654263000000,2022-06-03,UBER,24.17,24.50,23.73,24.15,24283600,586448930.74,0
1654176600000,2022-06-02,UBER,23.07,24.83,22.94,24.74,30691100,759297806.98,0
1654090200000,2022-06-01,UBER,23.53,23.87,22.57,22.94,26383600,605239798.09,0
1654003800000,2022-05-31,UBER,23.50,23.90,23.03,23.20,33194800,770119385.33,0
1653658200000,2022-05-27,UBER,23.49,24.13,23.33,23.67,29710200,703240436.27,0
1653571800000,2022-05-26,UBER,22.15,23.28,21.92,23.10,30199400,697606151.52,0
1653485400000,2022-05-25,UBER,21.71,22.35,21.27,22.04,31270800,689208460.63,0
1653399000000,2022-05-24,UBER,23.69,23.74,21.41,21.55,40726100,877647423.93,0
1653312600000,2022-05-23,UBER,23.32,23.83,22.71,23.78,35204800,837170168.17,0
1653053400000,2022-05-20,UBER,23.81,24.10,22.41,23.35,32104700,749644757.25,0
1652967000000,2022-05-19,UBER,22.29,23.81,22.20,23.24,36461200,847358279.65,0
1652880600000,2022-05-18,UBER,23.98,24.19,22.34,22.46,35747300,802884325.27,0
1652794200000,2022-05-17,UBER,24.32,24.90,23.59,24.20,33859400,819397505.83,0
1652707800000,2022-05-16,UBER,24.31,24.46,23.40,23.59,27285200,643657872.16,0
1652448600000,2022-05-13,UBER,23.88,24.87,23.68,24.39,53577600,1306757631.30,0
1652362200000,2022-05-12,UBER,22.15,24.06,21.69,23.29,63999300,1490543755.59,0
1652275800000,2022-05-11,UBER,23.28,24.15,22.50,22.57,51137700,1154177873.39,0
1652189400000,2022-05-10,UBER,23.85,24.55,22.80,23.67,47982500,1135745778.66,0
