https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume AMZN,Volume USDT,tradecount
1691674200000,2023-08-10,AMZN,139.07,140.41,137.49,138.56,58928400,8165118960.13,0
1691587800000,2023-08-09,AMZN,139.97,140.32,137.10,137.85,50017300,6894885110.28,0
1691501400000,2023-08-08,AMZN,140.62,140.84,138.42,139.94,51710500,7236367496.25,0
1691415000000,2023-08-07,AMZN,140.99,142.54,138.95,142.22,71213100,10127927168.93,0
1691155800000,2023-08-04,AMZN,141.06,143.63,139.32,139.57,153128500,21372145866.55,0
1691069400000,2023-08-03,AMZN,127.48,129.84,126.41,128.91,88585200,11419518456.41,0
1690983000000,2023-08-02,AMZN,130.15,130.23,126.82,128.21,51027600,6542248938.59,0
1690896600000,2023-08-01,AMZN,133.55,133.69,131.62,131.69,42098500,5543951567.78,0
1690810200000,2023-07-31,AMZN,133.20,133.87,132.38,133.68,41901500,5601392213.10,0
1690551000000,2023-07-28,AMZN,129.69,133.01,129.33,132.21,46317400,6123623764.97,0
1690464600000,2023-07-27,AMZN,131.00,132.63,127.79,128.25,52610700,6747322275.00,0
1690378200000,2023-07-26,AMZN,126.51,129.08,126.11,128.15,53910100,6908578985.96,0
1690291800000,2023-07-25,AMZN,129.31,129.58,128.53,129.13,39236700,5066635262.59,0
1690205400000,2023-07-24,AMZN,130.31,131.66,128.35,128.80,45591100,5872133819.13,0
1689946200000,2023-07-21,AMZN,131.34,131.37,128.42,130.00,133307300,17329949000.00,0
1689859800000,2023-07-20,AMZN,134.07,134.79,129.33,129.96,59820600,7774285577.63,0
1689773400000,2023-07-19,AMZN,133.39,135.99,132.53,135.36,54531000,7381316193.28,0
1689687000000,2023-07-18,AMZN,132.71,133.86,131.35,132.83,54882900,7290095707.49,0
1689600600000,2023-07-17,AMZN,134.56,135.62,133.21,133.56,48450200,6471008593.71,0
1689341400000,2023-07-14,AMZN,134.06,136.65,134.06,134.68,54487100,7338322228.92,0
1689255000000,2023-07-13,AMZN,134.04,134.67,132.71,134.30,61170900,8215252056.68,0
1689168600000,2023-07-12,AMZN,130.31,131.26,128.83,130.80,54022800,7066182404.86,0
1689082200000,2023-07-11,AMZN,127.75,129.77,127.35,128.78,49951500,6432754109.02,0
1688995800000,2023-07-10,AMZN,129.07,129.28,125.92,127.13,61889300,7867986539.02,0
1688736600000,2023-07-07,AMZN,128.59,130.97,128.13,129.78,41992300,5449760642.74,0
1688650200000,2023-07-06,AMZN,128.25,128.73,127.37,128.36,40639900,5216537588.80,0
1688563800000,2023-07-05,AMZN,130.24,131.40,129.64,130.38,35895400,4680042427.27,0
1688391000000,2023-07-03,AMZN,130.82,131.85,130.07,130.22,28264800,3680642290.50,0
1688131800000,2023-06-30,AMZN,129.47,131.25,128.95,130.36,54350700,7085157285.17,0
1688045400000,2023-06-29,AMZN,128.77,129.26,127.26,127.90,40761000,5213331962.20,0
1687959000000,2023-06-28,AMZN,128.94,131.48,128.44,129.04,52149500,6729371129.88,0
1687872600000,2023-06-27,AMZN,128.63,130.09,127.55,129.18,46801000,6045752837.22,0
1687786200000,2023-06-26,AMZN,129.33,131.49,127.10,127.33,59989300,7638437678.84,0
1687527000000,2023-06-23,AMZN,129.11,130.84,128.28,129.33,71927800,9302422505.70,0
1687440600000,2023-06-22,AMZN,125.31,130.33,125.14,130.15,90354600,11759650638.52,0
1687354200000,2023-06-21,AMZN,125.64,126.73,123.85,124.83,52137700,6508349186.47,0
1687267800000,2023-06-20,AMZN,124.97,127.25,124.50,125.78,56930100,7160667908.51,0
1686922200000,2023-06-16,AMZN,127.71,127.90,125.30,125.49,84247100,10572168399.03,0
1686835800000,2023-06-15,AMZN,125.21,127.69,124.32,127.11,60458500,7684879971.90,0
1686749400000,2023-06-14,AMZN,126.70,126.95,124.12,126.42,52422500,6627252354.01,0
1686663000000,2023-06-13,AMZN,128.12,128.41,125.18,126.66,50564800,6404537753.17,0
1686576600000,2023-06-12,AMZN,124.02,126.78,123.53,126.57,51338000,6497850644.33,0
1686317400000,2023-06-09,AMZN,124.08,125.80,123.19,123.43,51396000,6343808295.68,0
1686231000000,2023-06-08,AMZN,123.01,125.63,122.26,124.25,62159300,7723293025.00,0
1686144600000,2023-06-07,AMZN,127.01,127.37,120.63,121.23,95663300,11597262180.14,0
1686058200000,2023-06-06,AMZN,125.07,127.40,125.00,126.61,45695200,5785469299.89,0
1685971800000,2023-06-05,AMZN,123.36,125.80,123.03,125.30,47950100,6008147676.33,0
1685712600000,2023-06-02,AMZN,124.92,126.39,124.02,124.25,61264400,7612101700.00,0
1685626200000,2023-06-01,AMZN,120.69,123.49,119.93,122.77,54375100,6675630844.47,0
1685539800000,2023-05-31,AMZN,121.45,122.04,119.17,120.58,72800800,8778320597.30,0
1685453400000,2023-05-30,AMZN,122.37,122.92,119.86,121.66,64314800,7824538803.53,0
1685107800000,2023-05-26,AMZN,116.04,121.50,116.02,120.11,96779900,11624233848.07,0
1685021400000,2023-05-25,AMZN,116.63,116.87,114.31,115.00,66496700,7647120500.00,0
1684935000000,2023-05-24,AMZN,115.35,117.34,115.02,116.75,63487900,7412212325.00,0
1684848600000,2023-05-23,AMZN,114.27,117.14,113.78,114.99,67576300,7770598592.64,0
1684762200000,2023-05-22,AMZN,116.77,116.77,114.25,115.01,70741100,8135934062.12,0
1684503000000,2023-05-19,AMZN,118.16,118.31,115.70,116.25,55056300,6400294875.00,0
1684416600000,2023-05-18,AMZN,116.69,118.60,116.34,118.15,73174100,8645520026.65,0
1684330200000,2023-05-17,AMZN,114.89,115.83,114.22,115.50,65655200,7583175600.00,0
1684243800000,2023-05-16,AMZN,111.05,114.79,111.05,113.40,71472900,8105026969.06,0
1684157400000,2023-05-15,AMZN,111.15,112.29,109.25,111.20,53011100,5894834158.22,0
1683898200000,2023-05-12,AMZN,112.16,112.64,109.32,110.26,49852700,5496758808.50,0
1683811800000,2023-05-11,AMZN,111.03,113.28,110.49,112.18,74924800,8405064086.87,0
1683725400000,2023-05-10,AMZN,108.10,110.67,108.05,110.19,78627600,8663975435.96,0
1683639000000,2023-05-09,AMZN,105.48,106.79,105.16,106.62,44089400,4700811949.10,0
1683552600000,2023-05-08,AMZN,105.04,106.10,104.70,105.83,49430900,5231272237.51,0
1683293400000,2023-05-05,AMZN,104.27,105.76,103.55,105.66,56951700,6017516830.56,0
1683207000000,2023-05-04,AMZN,104.04,105.39,103.31,104.00,45345500,4715932000.00,0
1683120600000,2023-05-03,AMZN,103.74,105.96,103.28,103.65,65051900,6742629534.26,0
1683034200000,2023-05-02,AMZN,101.47,103.90,101.15,103.63,73469400,7613633720.21,0
1682947800000,2023-05-01,AMZN,104.95,105.23,101.82,102.05,74728100,7626002833.05,0
1682688600000,2023-04-28,AMZN,107.73,109.48,104.33,105.45,130715900,13783991256.09,0
1682602200000,2023-04-27,AMZN,108.16,110.86,106.80,109.82,149961200,16468738938.24,0
1682515800000,2023-04-26,AMZN,105.04,106.62,104.10,104.98,73803800,7747923171.75,0
1682429400000,2023-04-25,AMZN,104.91,105.45,102.45,102.57,65026800,6669798856.16,0
1682343000000,2023-04-24,AMZN,107.66,109.23,105.07,106.21,69575600,7389624412.30,0
1682083800000,2023-04-21,AMZN,106.10,108.15,105.08,106.96,86774200,9281368352.56,0
1681997400000,2023-04-20,AMZN,103.53,105.25,103.21,103.81,57696900,5989515048.14,0
1681911000000,2023-04-19,AMZN,101.58,105.12,101.39,104.30,58398900,6091005448.22,0
1681824600000,2023-04-18,AMZN,103.95,104.20,101.52,102.30,39790500,4070568271.43,0
1681738200000,2023-04-17,AMZN,103.16,103.73,101.59,102.74,39919500,4101329344.72,0
1681479000000,2023-04-14,AMZN,102.07,103.20,101.11,102.51,51450500,5274190864.91,0
1681392600000,2023-04-13,AMZN,98.95,102.57,98.71,102.40,67925100,6955530343.65,0
1681306200000,2023-04-12,AMZN,100.40,100.51,97.71,97.83,56735000,5550385153.88,0
1681219800000,2023-04-11,AMZN,100.80,101.00,99.01,99.92,60417800,6036946465.37,0
1681133400000,2023-04-10,AMZN,100.96,102.20,99.57,102.17,37261200,3806976735.77,0
1680787800000,2023-04-06,AMZN,100.75,102.38,99.80,102.06,43808000,4471044373.05,0
1680701400000,2023-04-05,AMZN,103.91,103.91,100.75,101.10,45175400,4567232871.07,0
1680615000000,2023-04-04,AMZN,102.75,104.20,102.11,103.95,48662500,5058466726.49,0
1680528600000,2023-04-03,AMZN,102.30,103.29,101.43,102.41,41135700,4212707187.64,0
1680269400000,2023-03-31,AMZN,102.16,103.49,101.95,103.29,56750300,5861738538.96,0
1680183000000,2023-03-30,AMZN,101.55,103.04,101.01,102.00,53633400,5470606800.00,0
1680096600000,2023-03-29,AMZN,98.69,100.42,98.56,100.25,49783300,4990775825.00,0
1680010200000,2023-03-28,AMZN,98.11,98.44,96.29,97.24,38720100,3765142441.28,0
1679923800000,2023-03-27,AMZN,99.07,99.34,97.08,98.04,46721300,4580556294.77,0
1679664600000,2023-03-24,AMZN,98.07,98.30,96.40,98.13,56095400,5504641447.93,0
