https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume GOOGL,Volume USDT,tradecount
1705933800000,2024-01-22,GOOGL,147.10,148.39,145.84,145.99,32200400,4700936572.88,0
1705674600000,2024-01-19,GOOGL,144.74,146.45,144.38,146.38,34271900,5016720889.34,0
1705588200000,2024-01-18,GOOGL,142.05,144.21,141.99,143.48,25746400,3694093362.00,0
1705501800000,2024-01-17,GOOGL,141.35,141.84,138.90,141.47,20968600,2966427867.60,0
1705415400000,2024-01-16,GOOGL,142.00,144.35,141.45,142.49,22670500,3230319669.53,0
1705069800000,2024-01-12,GOOGL,142.67,143.20,141.82,142.65,18785500,2679751460.34,0
1704983400000,2024-01-11,GOOGL,143.49,145.22,140.64,142.08,24008700,3411156139.96,0
1704897000000,2024-01-10,GOOGL,141.00,143.00,140.91,142.28,21320200,3033438029.97,0
1704810600000,2024-01-09,GOOGL,138.50,141.49,138.15,140.95,24759600,3489865544.44,0
1704724200000,2024-01-08,GOOGL,136.29,139.01,136.26,138.84,21404000,2971731281.62,0
1704465000000,2024-01-05,GOOGL,136.75,137.16,135.15,135.73,22513900,3055811550.81,0
1704378600000,2024-01-04,GOOGL,138.42,139.16,136.35,136.39,27137700,3701310886.44,0
1704292200000,2024-01-03,GOOGL,137.25,139.63,137.08,138.92,24212100,3363544887.67,0
1704205800000,2024-01-02,GOOGL,138.55,139.45,136.48,138.17,23711200,3276176460.58,0
1703860200000,2023-12-29,GOOGL,139.63,140.36,138.78,139.69,18733000,2616812815.73,0
1703773800000,2023-12-28,GOOGL,140.78,141.14,139.75,140.23,16045700,2250088442.45,0
1703687400000,2023-12-27,GOOGL,141.59,142.08,139.89,140.37,19628600,2755266486.16,0
1703601000000,2023-12-26,GOOGL,141.59,142.68,141.19,141.52,16780300,2374748127.69,0
1703255400000,2023-12-22,GOOGL,140.77,141.99,140.71,141.49,26532200,3754041123.75,0
1703169000000,2023-12-21,GOOGL,139.49,140.69,139.18,140.42,27488300,3859907035.67,0
1703082600000,2023-12-20,GOOGL,138.97,141.70,138.07,138.34,49107200,6793489868.16,0
1702996200000,2023-12-19,GOOGL,136.84,137.47,136.08,136.65,25476800,3481404564.50,0
1702909800000,2023-12-18,GOOGL,132.63,137.15,132.43,135.80,32258000,4380636498.44,0
1702650600000,2023-12-15,GOOGL,131.62,133.51,131.18,132.60,50847100,6742325770.35,0
