https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume NFLX,Volume USDT,tradecount
1726493400000,2024-09-16,NFLX,70.00,70.30,68.86,69.65,18437000,1284137078.13,0
1726234200000,2024-09-13,NFLX,68.00,69.96,68.00,69.71,22765000,1586857119.18,0
1726147800000,2024-09-12,NFLX,68.49,69.49,68.22,68.68,25821000,1773386287.88,0
1726061400000,2024-09-11,NFLX,67.75,68.30,66.08,68.15,23919000,1630008168.91,0
1725975000000,2024-09-10,NFLX,67.69,68.06,66.58,67.36,20792000,1400590693.85,0
1725888600000,2024-09-09,NFLX,67.40,68.35,67.21,67.54,26831000,1812219397.09,0
1725629400000,2024-09-06,NFLX,68.19,68.32,66.23,66.58,29913000,1991517905.07,0
1725543000000,2024-09-05,NFLX,67.31,68.73,67.19,68.36,18101000,1237420553.16,0
1725456600000,2024-09-04,NFLX,67.33,68.46,67.31,67.97,17853000,1213432745.41,0
1725370200000,2024-09-03,NFLX,70.01,70.39,67.10,67.53,31610000,2134686446.69,0
1725024600000,2024-08-30,NFLX,70.04,70.19,68.82,70.14,32667000,2291100114.78,0
1724938200000,2024-08-29,NFLX,69.00,69.98,68.61,69.25,21870000,1514453784.03,0
1724851800000,2024-08-28,NFLX,69.58,69.67,67.71,68.38,24306000,1662141569.27,0
1724765400000,2024-08-27,NFLX,68.85,70.79,68.69,69.57,31649000,2201884183.57,0
1724679000000,2024-08-26,NFLX,68.73,69.06,68.16,68.84,13542000,932285471.97,0
1724419800000,2024-08-23,NFLX,69.41,69.61,67.86,68.67,23545000,1616905703.09,0
1724333400000,2024-08-22,NFLX,69.10,70.15,68.62,68.90,27294000,1880447525.62,0
1724247000000,2024-08-21,NFLX,69.70,70.10,69.14,69.71,22353000,1558272290.98,0
1724160600000,2024-08-20,NFLX,68.89,71.13,68.82,69.85,48131000,3362142694.80,0
1724074200000,2024-08-19,NFLX,67.41,68.88,67.29,68.85,30162000,2076744090.27,0
1723815000000,2024-08-16,NFLX,66.94,68.02,66.54,67.41,35110000,2366659688.57,0
1723728600000,2024-08-15,NFLX,66.85,67.32,65.98,66.32,32102000,2129068798.93,0
1723642200000,2024-08-14,NFLX,64.87,66.36,64.87,66.17,40143000,2656181994.60,0
1723555800000,2024-08-13,NFLX,63.86,65.10,63.55,64.80,26396000,1710513643.55,0
1723469400000,2024-08-12,NFLX,63.10,63.90,62.71,63.31,23317000,1476292518.79,0
1723210200000,2024-08-09,NFLX,62.30,63.66,62.30,63.39,19808000,1255708371.95,0
1723123800000,2024-08-08,NFLX,62.20,63.23,61.60,63.03,32835000,2069754219.99,0
1723037400000,2024-08-07,NFLX,61.61,63.20,61.06,61.15,31878000,1949275906.06,0
1722951000000,2024-08-06,NFLX,60.06,62.24,60.06,60.96,43191000,2632793818.63,0
1722864600000,2024-08-05,NFLX,58.70,60.46,58.70,59.85,40442000,2420655891.49,0
1722605400000,2024-08-02,NFLX,62.10,62.53,60.83,61.36,35230000,2161853664.09,0
1722519000000,2024-08-01,NFLX,62.92,64.67,61.76,62.49,37206000,2324816932.71,0
1722432600000,2024-07-31,NFLX,62.66,63.36,62.26,62.83,31349000,1969814386.30,0
1722346200000,2024-07-30,NFLX,63.02,63.47,61.70,62.26,34966000,2176913207.73,0
1722259800000,2024-07-29,NFLX,63.46,63.46,62.39,62.70,24005000,1505017459.49,0
1722000600000,2024-07-26,NFLX,64.50,64.70,62.98,63.14,31207000,1970316391.38,0
1721914200000,2024-07-25,NFLX,64.10,65.00,62.17,63.41,45545000,2887962923.07,0
1721827800000,2024-07-24,NFLX,63.57,65.24,63.27,63.60,48882000,3108846270.26,0
1721741400000,2024-07-23,NFLX,64.75,64.99,64.10,64.28,24636000,1583503560.06,0
1721655000000,2024-07-22,NFLX,63.95,65.63,63.26,64.75,52191000,3379367250.00,0
1721395800000,2024-07-19,NFLX,66.06,67.90,62.91,63.33,98156000,6216612068.05,0
1721309400000,2024-07-18,NFLX,65.66,65.70,63.92,64.30,75758000,4871542496.73,0
1721223000000,2024-07-17,NFLX,65.00,65.04,63.95,64.75,40173000,2601041146.27,0
1721136600000,2024-07-16,NFLX,66.18,66.37,64.91,65.63,26857000,1762678725.63,0
1721050200000,2024-07-15,NFLX,64.75,66.75,64.66,65.64,32088000,2106416652.28,0
1720791000000,2024-07-12,NFLX,65.28,65.59,64.37,64.76,33552000,2172827591.67,0
1720704600000,2024-07-11,NFLX,67.25,67.25,64.74,65.28,51066000,3333333227.92,0
1720618200000,2024-07-10,NFLX,68.50,68.72,67.32,67.76,26519000,1797060018.81,0
1720531800000,2024-07-09,NFLX,69.00,69.53,68.47,68.57,25961000,1780249549.03,0
1720445400000,2024-07-08,NFLX,68.70,68.89,68.15,68.57,19308000,1324026743.68,0
1720186200000,2024-07-05,NFLX,68.25,69.75,67.72,69.07,26591000,1836507479.92,0
1720013400000,2024-07-03,NFLX,67.75,68.38,67.55,68.25,14035000,957902777.29,0
1719927000000,2024-07-02,NFLX,67.35,68.17,67.01,67.96,24114000,1638739216.42,0
1719840600000,2024-07-01,NFLX,67.49,67.50,66.38,67.36,22128000,1490564209.35,0
1719581400000,2024-06-28,NFLX,67.90,68.70,67.31,67.49,34124000,2302960476.59,0
1719495000000,2024-06-27,NFLX,67.93,68.86,67.81,68.43,24048000,1645700786.50,0
