https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume PYPL,Volume USDT,tradecount
1701354600000,2023-11-30,PYPL,58.05,58.10,57.05,57.61,19039400,1096859845.62,0
1701268200000,2023-11-29,PYPL,59.23,60.20,57.91,57.97,19258300,1116403674.51,0
1701181800000,2023-11-28,PYPL,56.47,58.70,56.13,58.47,23957900,1400818442.25,0
1701095400000,2023-11-27,PYPL,56.00,56.97,55.71,56.39,15183800,856214472.73,0
1700836200000,2023-11-24,PYPL,56.00,56.13,55.55,55.76,6846600,381766404.51,0
1700663400000,2023-11-22,PYPL,55.79,56.74,55.62,56.34,11451600,645183145.75,0
1700577000000,2023-11-21,PYPL,56.55,56.63,55.28,55.40,13729000,760586620.95,0
1700490600000,2023-11-20,PYPL,56.54,57.24,56.26,56.99,11406700,650067852.15,0
1700231400000,2023-11-17,PYPL,56.87,56.96,56.35,56.54,12138000,686282531.11,0
1700145000000,2023-11-16,PYPL,57.96,58.27,56.55,56.82,12748600,724375448.11,0
1700058600000,2023-11-15,PYPL,57.00,58.56,56.99,58.25,15222100,886687325.00,0
1699972200000,2023-11-14,PYPL,55.49,57.19,55.42,56.68,16775400,950829677.12,0
1699885800000,2023-11-13,PYPL,54.44,54.72,53.98,54.39,11861100,645125221.76,0
1699626600000,2023-11-10,PYPL,54.34,54.83,53.87,54.77,9682100,530288621.43,0
1699540200000,2023-11-09,PYPL,55.80,56.03,54.15,54.28,12568700,682229020.66,0
1699453800000,2023-11-08,PYPL,54.33,55.83,53.55,55.08,20518500,1130159017.57,0
1699367400000,2023-11-07,PYPL,54.44,55.04,54.05,54.63,13038500,712293268.93,0
1699281000000,2023-11-06,PYPL,56.65,56.72,54.19,54.62,17246800,942020197.58,0
1699018200000,2023-11-03,PYPL,55.42,56.27,55.38,56.10,18742100,1051431781.40,0
1698931800000,2023-11-02,PYPL,55.05,55.43,52.55,55.06,35348000,1946260928.54,0
1698845400000,2023-11-01,PYPL,51.91,52.20,51.10,51.66,25259700,1304916098.15,0
1698759000000,2023-10-31,PYPL,51.09,51.89,50.80,51.80,12942500,670421490.13,0
1698672600000,2023-10-30,PYPL,50.95,51.44,50.58,51.05,13168900,672272334.95,0
1698413400000,2023-10-27,PYPL,51.51,51.67,50.25,50.39,18382700,926304241.78,0
1698327000000,2023-10-26,PYPL,51.50,52.25,51.06,51.75,17045600,882109800.00,0
1698240600000,2023-10-25,PYPL,52.55,52.78,51.23,51.49,22784100,1173153347.24,0
1698154200000,2023-10-24,PYPL,53.88,54.61,53.59,54.24,9733900,527966752.34,0
1698067800000,2023-10-23,PYPL,52.92,54.12,52.65,53.45,13629400,728491440.40,0
1697808600000,2023-10-20,PYPL,53.99,54.47,53.34,53.39,20982500,1120255662.19,0
1697722200000,2023-10-19,PYPL,55.66,56.40,54.70,54.81,16298500,893320807.38,0
1697635800000,2023-10-18,PYPL,56.53,57.10,55.71,55.80,10514500,586709091.98,0
1697549400000,2023-10-17,PYPL,56.51,57.59,56.49,57.16,10325200,590188430.42,0
1697463000000,2023-10-16,PYPL,56.11,57.08,55.81,57.00,14267700,813258900.00,0
1697203800000,2023-10-13,PYPL,56.50,56.88,55.53,55.75,12048500,671703875.00,0
1697117400000,2023-10-12,PYPL,58.09,58.10,56.24,56.35,13497100,760629064.32,0
1697031000000,2023-10-11,PYPL,58.11,58.89,57.58,58.07,10866200,631000230.68,0
1696944600000,2023-10-10,PYPL,57.96,58.50,57.41,57.72,17455200,1007514165.31,0
1696858200000,2023-10-09,PYPL,56.99,58.09,56.32,57.96,10376600,601427726.50,0
1696599000000,2023-10-06,PYPL,56.83,58.25,55.86,57.77,18348600,1059998630.40,0
1696512600000,2023-10-05,PYPL,58.39,58.66,57.26,57.48,13037200,749378250.03,0
1696426200000,2023-10-04,PYPL,58.11,58.65,57.31,58.57,11019600,645417968.64,0
1696339800000,2023-10-03,PYPL,57.89,58.65,57.12,57.30,12014000,688402190.83,0
1696253400000,2023-10-02,PYPL,58.62,59.64,58.01,58.56,12961500,759025457.80,0
1695994200000,2023-09-29,PYPL,58.85,59.33,58.07,58.46,10550300,616770528.34,0
1695907800000,2023-09-28,PYPL,57.41,58.46,57.02,58.18,11387600,662530571.48,0
1695821400000,2023-09-27,PYPL,59.05,59.57,56.53,57.34,19171000,1099265142.93,0
1695735000000,2023-09-26,PYPL,58.30,59.22,58.23,58.93,11111900,654824270.39,0
1695648600000,2023-09-25,PYPL,57.54,58.90,57.51,58.86,11493800,676525075.02,0
1695389400000,2023-09-22,PYPL,59.02,59.19,57.83,57.88,12756700,738357809.63,0
1695303000000,2023-09-21,PYPL,59.95,60.31,58.61,58.62,15361000,900461803.59,0
1695216600000,2023-09-20,PYPL,62.56,62.62,60.83,60.86,11138900,677913460.80,0
1695130200000,2023-09-19,PYPL,62.10,62.42,61.45,62.19,11441800,711565526.29,0
1695043800000,2023-09-18,PYPL,63.35,63.51,62.75,62.94,14050000,884306980.71,0
1694784600000,2023-09-15,PYPL,64.66,65.73,63.91,64.21,21843500,1402571115.00,0
1694698200000,2023-09-14,PYPL,63.89,64.60,63.31,64.44,14564700,938549303.56,0
1694611800000,2023-09-13,PYPL,62.81,63.32,62.17,62.84,9426600,592367545.44,0
1694525400000,2023-09-12,PYPL,61.88,63.69,61.76,62.81,12224300,767808299.79,0
1694439000000,2023-09-11,PYPL,61.73,62.26,61.27,61.93,12280100,760506596.75,0
1694179800000,2023-09-08,PYPL,61.58,61.81,60.31,60.98,15367400,937104044.97,0
1694093400000,2023-09-07,PYPL,62.00,62.09,61.12,61.65,12712700,783737974.40,0
1694007000000,2023-09-06,PYPL,63.12,63.84,62.68,62.80,13621300,855417629.61,0
1693920600000,2023-09-05,PYPL,63.38,64.18,63.03,63.74,12739100,811990255.38,0
1693575000000,2023-09-01,PYPL,63.13,63.65,62.73,63.57,11715200,744735260.42,0
1693488600000,2023-08-31,PYPL,62.72,63.41,62.45,62.51,13840200,865150878.77,0
1693402200000,2023-08-30,PYPL,62.38,63.47,62.12,63.42,12041000,763640197.95,0
1693315800000,2023-08-29,PYPL,61.63,62.74,61.53,62.50,11627600,726725000.00,0
1693229400000,2023-08-28,PYPL,61.59,61.96,61.03,61.67,10459300,645025011.85,0
1692970200000,2023-08-25,PYPL,60.99,61.60,60.08,61.19,11150100,682274603.69,0
1692883800000,2023-08-24,PYPL,61.69,61.92,60.62,60.71,12846900,779935287.24,0
1692797400000,2023-08-23,PYPL,61.28,62.37,60.93,61.76,13105400,809389482.00,0
1692711000000,2023-08-22,PYPL,59.92,61.31,59.61,60.98,17340200,1057405388.06,0
1692624600000,2023-08-21,PYPL,59.46,59.77,58.75,59.51,14133700,841096463.28,0
1692365400000,2023-08-18,PYPL,57.39,59.80,57.29,59.42,19035900,1131113143.14,0
1692279000000,2023-08-17,PYPL,59.01,59.19,58.15,58.60,20616700,1208138588.54,0
1692192600000,2023-08-16,PYPL,59.44,60.19,59.26,59.68,16592700,990252341.06,0
1692106200000,2023-08-15,PYPL,62.76,62.77,59.40,59.47,32003500,1903248184.07,0
1692019800000,2023-08-14,PYPL,62.15,63.44,61.68,63.27,22668000,1434204370.38,0
1691760600000,2023-08-11,PYPL,62.27,62.50,61.47,61.54,12419300,764283733.37,0
1691674200000,2023-08-10,PYPL,62.60,63.05,62.08,62.79,13119100,823748301.01,0
1691587800000,2023-08-09,PYPL,63.10,63.39,61.93,62.02,13788700,855175180.31,0
1691501400000,2023-08-08,PYPL,63.77,63.99,62.49,63.19,17683700,1117432978.72,0
1691415000000,2023-08-07,PYPL,63.02,64.75,62.20,64.42,23738000,1529201916.53,0
1691155800000,2023-08-04,PYPL,64.80,64.97,62.66,62.75,25279500,1586288625.00,0
1691069400000,2023-08-03,PYPL,66.70,66.93,64.10,64.18,51260800,3289918159.64,0
1690983000000,2023-08-02,PYPL,74.38,74.99,72.50,73.20,24567800,1798362885.03,0
1690896600000,2023-08-01,PYPL,76.19,76.28,74.56,75.53,14608700,1103395093.17,0
1690810200000,2023-07-31,PYPL,74.90,76.54,74.74,75.82,15661100,1187424597.22,0
1690551000000,2023-07-28,PYPL,73.04,74.19,72.96,73.98,10182300,753286588.18,0
1690464600000,2023-07-27,PYPL,74.33,75.06,71.81,72.03,11836600,852590283.55,0
1690378200000,2023-07-26,PYPL,72.89,73.76,72.41,73.43,11332500,832145478.46,0
1690291800000,2023-07-25,PYPL,73.68,74.30,72.94,72.96,8536000,622786552.19,0
1690205400000,2023-07-24,PYPL,73.04,73.97,73.01,73.69,8845400,651817547.60,0
1689946200000,2023-07-21,PYPL,72.73,73.62,71.83,72.99,25515000,1862339795.49,0
1689859800000,2023-07-20,PYPL,72.82,74.68,72.80,73.02,14221100,1038424674.26,0
1689773400000,2023-07-19,PYPL,74.47,75.04,73.90,74.22,12167200,903049598.85,0
