https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume CRM,Volume USDT,tradecount
1675693800000,2023-02-06,CRM,168.00,171.17,167.35,169.05,4310600,728706943.15,0
1675434600000,2023-02-03,CRM,170.02,175.08,169.86,171.04,6481700,1108629924.48,0
1675348200000,2023-02-02,CRM,175.71,178.84,172.90,174.64,10667100,1862902337.49,0
1675261800000,2023-02-01,CRM,167.73,173.08,167.00,171.82,8853900,1521277162.85,0
1675175400000,2023-01-31,CRM,164.28,168.01,164.28,167.97,6421300,1078585768.84,0
1675089000000,2023-01-30,CRM,164.07,166.44,163.40,164.75,8169800,1345974550.00,0
1674829800000,2023-01-27,CRM,165.05,167.24,163.60,164.52,9872300,1624190838.18,0
1674743400000,2023-01-26,CRM,158.19,165.17,158.10,165.09,13354600,2204710865.09,0
1674657000000,2023-01-25,CRM,151.21,156.40,149.82,156.17,9390500,1466514367.81,0
1674570600000,2023-01-24,CRM,155.90,160.21,154.50,154.86,6390200,989586375.90,0
1674484200000,2023-01-23,CRM,157.35,157.87,153.23,155.87,19922900,3105382325.72,0
1674225000000,2023-01-20,CRM,144.30,151.53,144.30,151.25,10127100,1531723875.00,0
1674138600000,2023-01-19,CRM,143.52,146.68,143.16,146.41,7070100,1035133366.89,0
1674052200000,2023-01-18,CRM,148.86,149.54,145.29,145.45,7812600,1136342646.16,0
1673965800000,2023-01-17,CRM,149.60,150.49,146.10,148.47,9407600,1396746383.48,0
1673620200000,2023-01-13,CRM,146.20,149.96,146.09,149.51,8378100,1252609684.98,0
1673533800000,2023-01-12,CRM,147.84,149.82,143.94,149.60,11678000,1747028871.28,0
1673447400000,2023-01-11,CRM,145.28,147.04,143.56,144.90,13595000,1969915417.02,0
1673361000000,2023-01-10,CRM,145.81,149.28,145.60,147.44,6527700,962444103.94,0
1673274600000,2023-01-09,CRM,142.59,149.20,142.59,147.10,13679700,2012283953.49,0
1673015400000,2023-01-06,CRM,137.58,141.65,135.55,140.51,9145700,1285062256.76,0
1672929000000,2023-01-05,CRM,137.64,138.59,134.24,136.34,8493500,1158003758.90,0
1672842600000,2023-01-04,CRM,141.22,141.85,137.62,139.59,14322600,1999291681.55,0
1672756200000,2023-01-03,CRM,135.19,136.95,133.03,134.78,8196400,1104710781.99,0
1672410600000,2022-12-30,CRM,130.61,132.64,130.36,132.59,5630200,746508197.38,0
1672324200000,2022-12-29,CRM,129.70,132.95,129.50,132.54,7628800,1011121100.78,0
1672237800000,2022-12-28,CRM,129.71,131.14,128.17,128.47,6249800,802911813.63,0
1672151400000,2022-12-27,CRM,128.56,131.75,127.65,130.66,8300800,1084582558.40,0
1671805800000,2022-12-23,CRM,128.73,129.86,127.59,129.44,5821300,753509086.21,0
1671719400000,2022-12-22,CRM,128.67,129.54,126.34,129.19,9968600,1287843458.34,0
1671633000000,2022-12-21,CRM,127.96,132.16,126.60,130.30,9313200,1213509988.42,0
1671546600000,2022-12-20,CRM,127.50,129.99,127.19,128.45,8455500,1086108949.20,0
1671460200000,2022-12-19,CRM,127.77,129.58,127.20,129.01,9441400,1218034962.14,0
1671201000000,2022-12-16,CRM,128.92,129.88,126.89,128.27,15464700,1983657135.07,0
1671114600000,2022-12-15,CRM,131.67,134.12,129.68,130.44,10807300,1409704238.39,0
1671028200000,2022-12-14,CRM,135.01,137.27,133.23,134.75,9611800,1295190050.00,0
1670941800000,2022-12-13,CRM,137.39,139.88,134.04,135.62,12579800,1706072414.58,0
1670855400000,2022-12-12,CRM,131.10,134.09,130.95,133.11,11852400,1577672971.23,0
1670596200000,2022-12-09,CRM,129.74,133.37,128.36,131.11,10287500,1348794131.28,0
1670509800000,2022-12-08,CRM,128.43,131.46,127.02,130.13,15156900,1972367471.01,0
1670423400000,2022-12-07,CRM,132.50,133.75,130.02,130.48,12915900,1685266576.82,0
1670337000000,2022-12-06,CRM,132.71,134.55,130.91,133.27,16981800,2263164558.55,0
1670250600000,2022-12-05,CRM,142.80,144.39,132.88,133.93,20294600,2718055629.36,0
1669991400000,2022-12-02,CRM,144.29,145.21,142.78,144.56,15086700,2180933315.17,0
1669905000000,2022-12-01,CRM,147.55,147.59,142.08,147.00,33721500,4957060500.00,0
1669818600000,2022-11-30,CRM,150.75,160.25,150.13,160.25,14591500,2338287875.00,0
1669732200000,2022-11-29,CRM,152.72,154.02,151.26,151.68,6398100,970463761.14,0
1669645800000,2022-11-28,CRM,152.00,155.32,152.00,153.69,7931700,1219022992.36,0
1669386600000,2022-11-25,CRM,152.07,154.04,151.38,153.35,3023700,463684413.46,0
1669213800000,2022-11-23,CRM,147.62,152.91,147.55,152.24,5558900,846286966.54,0
1669127400000,2022-11-22,CRM,145.20,149.38,142.92,149.25,7017700,1047391725.00,0
1669041000000,2022-11-21,CRM,146.02,147.34,143.40,144.85,8015900,1161103163.93,0
1668781800000,2022-11-18,CRM,151.84,152.32,145.65,148.04,7555700,1118545777.27,0
1668695400000,2022-11-17,CRM,150.19,151.76,148.34,149.69,7357900,1101404068.96,0
1668609000000,2022-11-16,CRM,160.00,160.82,153.83,155.12,6454700,1001253032.48,0
1668522600000,2022-11-15,CRM,162.68,165.25,160.75,162.07,8116100,1315376386.44,0
1668436200000,2022-11-14,CRM,155.82,160.16,154.65,158.66,6580100,1043998690.10,0
1668177000000,2022-11-11,CRM,156.49,159.92,155.58,157.73,7382500,1164441693.46,0
1668090600000,2022-11-10,CRM,151.00,156.37,149.73,156.30,8777900,1371985796.79,0
1668004200000,2022-11-09,CRM,145.85,146.33,141.94,142.06,5588500,793902296.36,0
1667917800000,2022-11-08,CRM,145.09,151.56,145.08,147.10,9101800,1338874835.55,0
1667831400000,2022-11-07,CRM,140.62,144.93,138.77,144.59,7379900,1067059713.97,0
1667568600000,2022-11-04,CRM,146.50,146.95,136.04,139.77,14265300,1993861041.95,0
1667482200000,2022-11-03,CRM,149.00,150.42,146.13,146.33,5999400,877892212.99,0
1667395800000,2022-11-02,CRM,159.51,159.77,149.96,150.01,7238200,1085802342.24,0
1667309400000,2022-11-01,CRM,165.00,165.70,159.64,159.82,4545900,726525771.30,0
1667223000000,2022-10-31,CRM,162.12,164.00,161.00,162.59,4878100,793130261.14,0
1666963800000,2022-10-28,CRM,159.51,163.09,158.17,163.02,5055400,824131329.60,0
1666877400000,2022-10-27,CRM,161.80,164.66,159.32,159.75,4987700,796785075.00,0
1666791000000,2022-10-26,CRM,159.80,164.12,158.70,159.91,6617500,1058204449.23,0
1666704600000,2022-10-25,CRM,161.70,166.03,161.69,165.27,5804500,959309739.80,0
1666618200000,2022-10-24,CRM,161.18,161.57,158.40,160.65,6259200,1005540441.80,0
1666359000000,2022-10-21,CRM,157.50,160.43,154.82,160.17,8335500,1335097019.74,0
1666272600000,2022-10-20,CRM,155.00,161.30,153.60,157.50,9203400,1449535500.00,0
1666186200000,2022-10-19,CRM,151.86,155.95,150.64,153.67,6220500,955904223.61,0
1666099800000,2022-10-18,CRM,156.45,158.97,151.90,153.53,16354800,2510952424.04,0
1666013400000,2022-10-17,CRM,146.07,149.00,145.94,147.18,6288200,925497229.94,0
1665754200000,2022-10-14,CRM,147.33,147.70,142.00,142.22,5736300,815816593.00,0
