https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume DIS,Volume USDT,tradecount
1730730600000,2024-11-04,DIS,95.83,96.02,95.03,95.79,6088000,583169525.57,0
1730467800000,2024-11-01,DIS,95.70,96.39,94.83,95.81,7944900,761200849.60,0
1730381400000,2024-10-31,DIS,95.27,96.63,95.00,96.20,8147700,783808715.14,0
1730295000000,2024-10-30,DIS,95.70,96.71,94.94,95.08,7718200,733846470.13,0
1730208600000,2024-10-29,DIS,96.26,96.62,95.68,96.13,6834400,656990853.23,0
1730122200000,2024-10-28,DIS,95.22,96.69,95.21,96.20,8146400,783683655.14,0
1729863000000,2024-10-25,DIS,95.81,96.85,95.01,95.03,6638100,630818634.90,0
1729776600000,2024-10-24,DIS,96.60,96.80,95.25,95.40,5015300,478459627.65,0
1729690200000,2024-10-23,DIS,96.93,97.14,95.99,96.24,5388500,518589228.49,0
1729603800000,2024-10-22,DIS,96.20,97.26,96.20,96.74,5344300,517007570.58,0
1729517400000,2024-10-21,DIS,97.20,97.45,95.95,96.62,8189900,791308160.49,0
1729258200000,2024-10-18,DIS,97.01,97.54,96.05,97.28,8609700,837551605.49,0
1729171800000,2024-10-17,DIS,96.93,97.33,95.61,96.54,9542500,921232958.74,0
1729085400000,2024-10-16,DIS,93.73,96.79,93.63,96.75,9936300,961337025.00,0
1728999000000,2024-10-15,DIS,95.25,95.65,93.68,94.22,6535800,615803083.98,0
1728912600000,2024-10-14,DIS,94.18,95.19,93.80,94.97,6262000,594702147.64,0
1728653400000,2024-10-11,DIS,92.85,94.61,92.80,94.13,8089100,761426960.78,0
1728567000000,2024-10-10,DIS,93.72,93.88,92.69,92.99,6698000,622847005.69,0
1728480600000,2024-10-09,DIS,91.86,94.01,91.46,93.60,8654500,810061186.79,0
1728394200000,2024-10-08,DIS,92.52,93.74,91.69,92.51,10209100,944443862.81,0
1728307800000,2024-10-07,DIS,95.09,95.14,91.76,92.39,11043600,1020318197.26,0
1728048600000,2024-10-04,DIS,94.30,95.34,93.89,95.15,6308900,600291844.63,0
1727962200000,2024-10-03,DIS,93.61,94.09,93.13,93.63,6180300,578661472.03,0
1727875800000,2024-10-02,DIS,93.59,94.58,93.59,94.15,6144200,578476439.38,0
1727789400000,2024-10-01,DIS,95.19,95.85,93.32,94.05,10099200,949829790.82,0
1727703000000,2024-09-30,DIS,96.85,97.57,95.44,96.19,7982300,767817456.49,0
1727443800000,2024-09-27,DIS,95.49,96.90,95.28,96.01,10155400,975019975.69,0
1727357400000,2024-09-26,DIS,94.46,95.79,94.18,95.20,10061600,957864289.29,0
1727271000000,2024-09-25,DIS,93.64,94.44,93.35,93.92,8408200,789698128.60,0
1727184600000,2024-09-24,DIS,93.34,93.79,92.46,93.69,7860300,736431526.19,0
1727098200000,2024-09-23,DIS,93.70,93.70,92.16,92.97,7338700,682278947.96,0
1726839000000,2024-09-20,DIS,93.20,94.01,92.82,93.75,19251500,1804828125.00,0
1726752600000,2024-09-19,DIS,94.82,95.29,93.32,93.45,10912400,1019763746.70,0
1726666200000,2024-09-18,DIS,93.52,94.07,92.69,93.58,10289800,962919502.84,0
1726579800000,2024-09-17,DIS,92.37,93.25,92.17,92.86,8193100,760811271.00,0
1726493400000,2024-09-16,DIS,91.10,92.37,90.95,91.85,9028600,829276896.22,0
1726234200000,2024-09-13,DIS,89.45,90.72,89.39,90.55,7084200,641474331.62,0
1726147800000,2024-09-12,DIS,88.22,89.33,88.18,89.30,7173300,640575711.89,0
1726061400000,2024-09-11,DIS,88.05,88.43,86.59,88.32,10779000,952001276.71,0
1725975000000,2024-09-10,DIS,88.33,88.89,87.98,88.40,6858300,606273730.46,0
1725888600000,2024-09-09,DIS,88.22,88.89,87.81,88.34,8750200,772992635.96,0
1725629400000,2024-09-06,DIS,88.45,89.09,87.72,87.94,7791500,685184529.02,0
1725543000000,2024-09-05,DIS,89.67,89.67,88.34,88.65,6234100,552652974.51,0
1725456600000,2024-09-04,DIS,88.95,90.02,88.82,89.25,6317200,563810100.00,0
1725370200000,2024-09-03,DIS,89.61,90.49,88.54,89.13,8465500,754529991.75,0
1725024600000,2024-08-30,DIS,89.98,90.45,89.40,90.38,8403600,759517344.92,0
1724938200000,2024-08-29,DIS,90.45,90.70,89.63,89.81,6181800,555187442.91,0
1724851800000,2024-08-28,DIS,90.33,90.62,88.76,89.49,8569700,766902434.69,0
1724765400000,2024-08-27,DIS,91.43,91.72,90.75,90.90,7237400,657879671.04,0
1724679000000,2024-08-26,DIS,90.92,91.80,90.92,91.78,8043800,738259954.18,0
1724419800000,2024-08-23,DIS,90.15,90.75,89.68,90.56,7369200,667354734.01,0
1724333400000,2024-08-22,DIS,90.99,91.38,89.70,89.92,7613000,684560946.06,0
1724247000000,2024-08-21,DIS,90.22,90.78,89.43,90.72,7637600,692883081.32,0
1724160600000,2024-08-20,DIS,90.39,90.67,89.31,89.74,8863400,795401497.07,0
1724074200000,2024-08-19,DIS,89.41,90.95,89.41,90.82,9723600,883097349.03,0
1723815000000,2024-08-16,DIS,88.96,89.67,88.34,89.30,10277700,917798641.37,0
1723728600000,2024-08-15,DIS,87.25,88.93,87.21,88.79,12401000,1101084801.35,0
1723642200000,2024-08-14,DIS,86.01,86.54,85.56,86.30,9475100,817701158.92,0
1723555800000,2024-08-13,DIS,86.46,86.46,85.31,85.60,14615200,1251061097.70,0
1723469400000,2024-08-12,DIS,85.86,86.38,85.48,85.95,11754600,1010307834.13,0
1723210200000,2024-08-09,DIS,86.13,86.25,84.71,86.21,16008400,1380084149.34,0
1723123800000,2024-08-08,DIS,85.15,86.33,83.91,85.96,21890500,1881707359.96,0
1723037400000,2024-08-07,DIS,88.00,89.24,85.75,85.96,30581900,2628820096.00,0
1722951000000,2024-08-06,DIS,88.23,91.91,87.96,89.97,21717500,1953923501.51,0
1722864600000,2024-08-05,DIS,86.89,89.56,86.42,87.78,19103200,1676878872.68,0
1722605400000,2024-08-02,DIS,92.16,92.20,89.00,89.57,15433600,1382387547.29,0
1722519000000,2024-08-01,DIS,93.86,93.95,92.60,93.05,9263600,861978008.27,0
1722432600000,2024-07-31,DIS,93.79,94.84,93.64,93.69,10241800,959554267.00,0
1722346200000,2024-07-30,DIS,91.67,94.04,91.67,93.79,9896100,928155228.06,0
1722259800000,2024-07-29,DIS,90.39,92.55,90.19,92.14,13024800,1200105064.05,0
