https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume V,Volume USDT,tradecount
1649079000000,2022-04-04,V,225.76,229.24,224.96,227.74,8521200,1940618134.81,0
1648819800000,2022-04-01,V,223.08,226.63,222.23,226.36,6559600,1484831060.00,0
1648733400000,2022-03-31,V,223.91,225.92,220.44,221.77,10759500,2386134360.97,0
1648647000000,2022-03-30,V,225.84,226.16,222.73,223.95,7084000,1586461778.38,0
1648560600000,2022-03-29,V,224.84,228.81,223.78,228.12,8032500,1832373860.78,0
1648474200000,2022-03-28,V,218.50,220.98,217.51,220.77,4316800,953019954.44,0
1648215000000,2022-03-25,V,218.42,218.93,215.69,218.43,5051400,1103377265.00,0
1648128600000,2022-03-24,V,214.99,217.66,214.00,217.31,5487000,1192379956.60,0
1648042200000,2022-03-23,V,215.30,217.29,214.20,214.68,6008000,1289797396.00,0
1647955800000,2022-03-22,V,217.84,219.57,217.18,218.47,6259900,1367600360.64,0
1647869400000,2022-03-21,V,216.34,218.06,214.55,217.04,6101500,1324269519.04,0
1647610200000,2022-03-18,V,211.70,219.26,210.29,219.11,14620800,3203563496.92,0
1647523800000,2022-03-17,V,209.93,213.54,208.72,213.45,6668500,1423391304.65,0
1647437400000,2022-03-16,V,210.00,213.67,207.00,211.87,9232300,1956047355.92,0
1647351000000,2022-03-15,V,202.09,206.41,201.40,206.14,8277700,1706365072.95,0
1647264600000,2022-03-14,V,198.42,204.43,198.16,200.33,7994700,1601578265.64,0
1647009000000,2022-03-11,V,200.75,200.84,196.46,196.71,5432100,1068548427.47,0
1646922600000,2022-03-10,V,196.90,199.94,196.30,197.97,7061600,1397984960.62,0
1646836200000,2022-03-09,V,196.50,200.50,195.24,199.76,8457600,1689490129.54,0
1646749800000,2022-03-08,V,190.01,196.42,186.67,191.71,11070900,2122402313.33,0
1646663400000,2022-03-07,V,199.84,200.18,190.05,190.70,13412400,2557744639.07,0
1646404200000,2022-03-04,V,205.00,206.37,196.86,200.29,10912300,2185624493.74,0
1646317800000,2022-03-03,V,210.55,211.50,206.56,207.23,8610000,1784250263.21,0
1646231400000,2022-03-02,V,206.90,210.54,206.19,208.48,8865700,1848321098.12,0
1646145000000,2022-03-01,V,214.48,215.15,207.28,208.97,9317800,1947140677.37,0
1646058600000,2022-02-28,V,216.00,218.65,213.24,216.12,8409400,1817439486.94,0
1645799400000,2022-02-25,V,217.29,220.68,214.25,219.27,8463600,1855813608.16,0
1645713000000,2022-02-24,V,203.37,217.86,201.45,217.30,13463400,2925596861.09,0
1645626600000,2022-02-23,V,222.84,224.28,215.42,215.95,8669900,1872264878.54,0
1645540200000,2022-02-22,V,221.02,224.34,219.92,221.32,9928800,2197442088.72,0
1645194600000,2022-02-18,V,224.60,225.74,221.84,222.69,8121200,1808510047.83,0
1645108200000,2022-02-17,V,228.40,228.81,224.17,224.61,8131200,1826348836.96,0
1645021800000,2022-02-16,V,227.50,229.88,225.60,228.82,9561300,2187816736.03,0
1644935400000,2022-02-15,V,227.27,229.29,224.91,227.82,9461700,2155564563.30,0
1644849000000,2022-02-14,V,223.29,227.26,222.81,225.34,8280800,1865995441.67,0
1644589800000,2022-02-11,V,227.25,229.10,223.54,224.69,7535200,1693084106.40,0
1644503400000,2022-02-10,V,228.03,229.95,224.87,225.59,6794600,1532793789.12,0
1644417000000,2022-02-09,V,230.13,233.15,230.12,230.87,7772800,1794506298.05,0
1644330600000,2022-02-08,V,226.26,228.50,224.75,227.94,7542000,1719123498.41,0
1644244200000,2022-02-07,V,228.00,229.92,226.01,227.16,5984500,1359439041.92,0
1643985000000,2022-02-04,V,228.50,230.22,224.95,228.39,10848100,2477597552.38,0
1643898600000,2022-02-03,V,233.04,233.49,230.55,231.54,9968000,2307990653.08,0
1643812200000,2022-02-02,V,231.30,235.85,230.01,235.42,10590500,2493215490.61,0
1643725800000,2022-02-01,V,226.90,234.61,226.42,232.36,12247200,2845759399.48,0
1643639400000,2022-01-31,V,225.55,226.38,222.05,226.17,12380600,2800120279.33,0
1643380200000,2022-01-28,V,220.64,228.12,216.10,228.00,26425300,6024968400.00,0
1643293800000,2022-01-27,V,209.50,210.96,205.85,206.15,12009800,2475820196.70,0
1643207400000,2022-01-26,V,204.28,210.86,203.67,205.87,10817600,2227019259.18,0
1643121000000,2022-01-25,V,199.62,205.38,196.99,202.00,12125500,2449351000.00,0
1643034600000,2022-01-24,V,202.18,202.72,195.65,201.85,16054000,3240499997.99,0
1642775400000,2022-01-21,V,215.46,215.60,205.82,205.93,16200200,3336107067.35,0
1642689000000,2022-01-20,V,214.72,219.60,213.94,214.35,8532700,1828984297.08,0
1642602600000,2022-01-19,V,213.00,218.23,212.11,214.68,9399800,2017948995.15,0
1642516200000,2022-01-18,V,215.88,216.91,214.33,215.71,9099300,1962810064.09,0
1642170600000,2022-01-14,V,214.17,218.25,213.71,214.67,8838100,1897274910.82,0
1642084200000,2022-01-13,V,216.85,220.48,214.66,215.00,8867700,1906555500.00,0
