https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume AAPL,Volume USDT,tradecount
1712583000000,2024-04-08,AAPL,169.03,169.20,168.24,168.45,37425500,6304325360.79,0
1712323800000,2024-04-05,AAPL,169.59,170.39,168.95,169.58,42104800,7140132061.10,0
1712237400000,2024-04-04,AAPL,170.29,171.92,168.82,168.82,53704400,9066377201.34,0
1712151000000,2024-04-03,AAPL,168.79,170.68,168.58,169.65,47691700,8090896613.91,0
1712064600000,2024-04-02,AAPL,169.08,169.34,168.23,168.84,49329500,8328792599.35,0
1711978200000,2024-04-01,AAPL,171.19,171.25,169.48,170.03,46240500,7862272158.55,0
1711632600000,2024-03-28,AAPL,171.75,172.23,170.51,171.48,65672700,11261554315.42,0
1711546200000,2024-03-27,AAPL,170.41,173.60,170.11,173.31,60273300,10445965475.85,0
1711459800000,2024-03-26,AAPL,170.00,171.42,169.58,169.71,57388400,9739385749.30,0
1711373400000,2024-03-25,AAPL,170.57,171.94,169.45,170.85,54288300,9275156386.35,0
1711114200000,2024-03-22,AAPL,171.76,173.05,170.06,172.28,71160100,12259461941.13,0
1711027800000,2024-03-21,AAPL,177.05,177.49,170.84,171.37,106181300,18196288862.54,0
1710941400000,2024-03-20,AAPL,175.72,178.67,175.09,178.67,53423100,9545105179.18,0
1710855000000,2024-03-19,AAPL,174.34,176.61,173.03,176.08,55215200,9722292517.10,0
1710768600000,2024-03-18,AAPL,175.57,177.71,173.52,173.72,75604200,13133961716.29,0
1710509400000,2024-03-15,AAPL,171.17,172.62,170.29,172.62,121752700,21016950479.50,0
1710423000000,2024-03-14,AAPL,172.91,174.31,172.05,173.00,72913500,12614035500.00,0
1710336600000,2024-03-13,AAPL,172.77,173.19,170.76,171.13,52488700,8982391487.29,0
1710250200000,2024-03-12,AAPL,173.15,174.03,171.01,173.23,59825400,10363553786.40,0
1710163800000,2024-03-11,AAPL,172.94,174.38,172.05,172.75,60139500,10389098625.00,0
1709908200000,2024-03-08,AAPL,169.00,173.70,168.94,170.73,76267000,13021064584.15,0
1709821800000,2024-03-07,AAPL,169.15,170.73,168.49,169.00,71765100,12128301900.00,0
1709735400000,2024-03-06,AAPL,171.06,171.24,168.68,169.12,68587700,11599551489.10,0
1709649000000,2024-03-05,AAPL,170.76,172.04,169.62,170.12,95132400,16183923423.49,0
1709562600000,2024-03-04,AAPL,176.15,176.90,173.79,175.10,81510100,14272419007.50,0
1709303400000,2024-03-01,AAPL,179.55,180.53,177.38,179.66,73563100,13216346815.40,0
1709217000000,2024-02-29,AAPL,181.27,182.57,179.53,180.75,136682600,24705379950.00,0
1709130600000,2024-02-28,AAPL,182.51,183.12,180.13,181.42,48953900,8881216448.36,0
1709044200000,2024-02-27,AAPL,181.10,183.92,179.56,182.63,54318900,9920260972.23,0
1708957800000,2024-02-26,AAPL,182.24,182.76,180.65,181.16,40867400,7403538333.66,0
1708698600000,2024-02-23,AAPL,185.01,185.04,182.23,182.52,45119700,8235247836.77,0
