https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume COIN,Volume USDT,tradecount
1726839000000,2024-09-20,COIN,168.99,173.39,165.40,170.09,8152300,1386624677.15,0
1726752600000,2024-09-19,COIN,172.00,175.39,167.00,168.24,9299100,1564480635.08,0
1726666200000,2024-09-18,COIN,161.54,169.10,160.80,162.64,5027400,817656332.93,0
1726579800000,2024-09-17,COIN,164.14,167.67,160.50,162.45,5225200,848833724.05,0
1726493400000,2024-09-16,COIN,158.50,163.16,155.88,161.50,4686200,756821300.00,0
1726234200000,2024-09-13,COIN,162.24,168.93,161.58,163.05,5953600,970734498.17,0
1726147800000,2024-09-12,COIN,158.61,165.43,156.10,162.89,6689300,1089620072.92,0
1726061400000,2024-09-11,COIN,153.56,158.84,149.95,157.15,6417400,1008494370.83,0
1725975000000,2024-09-10,COIN,155.01,159.14,149.51,158.46,5824800,922997847.11,0
1725888600000,2024-09-09,COIN,151.27,157.40,150.06,155.05,9256700,1435251363.25,0
1725629400000,2024-09-06,COIN,163.24,164.15,146.12,147.35,11026600,1624769577.30,0
1725543000000,2024-09-05,COIN,161.62,166.37,158.12,159.70,5732700,915512172.51,0
1725456600000,2024-09-04,COIN,166.50,169.04,160.67,163.22,7826400,1277425017.55,0
1725370200000,2024-09-03,COIN,182.00,182.70,168.07,169.13,9746600,1648442505.59,0
1725024600000,2024-08-30,COIN,189.22,189.94,180.04,183.36,7307200,1339848196.46,0
1724938200000,2024-08-29,COIN,194.00,196.50,187.60,188.28,3841800,723334099.31,0
1724851800000,2024-08-28,COIN,195.02,197.49,187.73,190.20,4995700,950182124.75,0
1724765400000,2024-08-27,COIN,201.84,202.50,194.10,198.30,5992900,1188392088.29,0
1724679000000,2024-08-26,COIN,209.30,210.85,202.68,204.00,5437100,1109168400.00,0
1724419800000,2024-08-23,COIN,200.97,211.92,200.00,211.40,8304200,1755507829.32,0
1724333400000,2024-08-22,COIN,204.78,207.10,197.43,198.43,5284900,1048682668.29,0
1724247000000,2024-08-21,COIN,197.16,207.00,195.11,206.23,7502400,1547219919.95,0
1724160600000,2024-08-20,COIN,209.10,209.80,191.21,197.25,12353700,2436767325.00,0
1724074200000,2024-08-19,COIN,203.34,207.49,200.35,204.46,6304200,1288956774.33,0
1723815000000,2024-08-16,COIN,199.00,205.95,197.14,205.31,6240500,1281237039.76,0
