https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume TSLA,Volume USDT,tradecount
1753795800000,2025-07-29,TSLA,325.55,326.25,318.25,321.20,87358900,28059679746.39,0
1753709400000,2025-07-28,TSLA,318.45,330.49,315.69,325.59,112673800,36685462129.38,0
1753450200000,2025-07-25,TSLA,308.74,323.63,308.01,316.06,148227000,46848625258.12,0
1753363800000,2025-07-24,TSLA,310.00,310.15,300.41,305.30,156966000,47921717883.91,0
1753277400000,2025-07-23,TSLA,330.90,336.20,328.67,332.56,92553800,30779691502.04,0
1753191000000,2025-07-22,TSLA,329.74,335.41,321.55,332.11,77370400,25695482410.64,0
1753104600000,2025-07-21,TSLA,334.40,338.00,326.88,328.49,75768800,24889292372.07,0
1752845400000,2025-07-18,TSLA,321.66,330.90,321.42,329.65,94255000,31071160174.71,0
1752759000000,2025-07-17,TSLA,323.15,324.34,317.06,319.41,73922900,23611713759.71,0
1752672600000,2025-07-16,TSLA,312.80,323.50,312.62,321.67,97284800,31293602922.31,0
1752586200000,2025-07-15,TSLA,319.68,321.20,310.50,310.78,77556300,24102946819.33,0
1752499800000,2025-07-14,TSLA,317.73,322.60,312.67,316.90,78043400,24731952983.66,0
1752240600000,2025-07-11,TSLA,307.89,314.09,305.65,313.51,79236400,24841404537.79,0
1752154200000,2025-07-10,TSLA,300.05,310.48,300.00,309.87,104365300,32339675001.40,0
1752067800000,2025-07-09,TSLA,297.55,300.15,293.55,295.88,75586800,22364622753.08,0
1751981400000,2025-07-08,TSLA,297.00,304.05,294.35,297.81,103246700,30747899474.93,0
1751895000000,2025-07-07,TSLA,291.37,296.15,288.77,293.94,131177900,38558432246.26,0
1751549400000,2025-07-03,TSLA,317.99,318.45,312.76,315.35,58042300,18303639659.26,0
1751463000000,2025-07-02,TSLA,312.63,316.83,303.82,315.65,119483700,37715029175.73,0
1751376600000,2025-07-01,TSLA,298.46,305.89,293.21,300.71,145085700,43628719607.25,0
1751290200000,2025-06-30,TSLA,319.90,325.58,316.60,317.66,76695100,24362965746.87,0
1751031000000,2025-06-27,TSLA,324.51,329.34,317.50,323.63,89067000,28824753644.90,0
1750944600000,2025-06-26,TSLA,324.61,331.05,323.61,325.78,80440900,26206036303.81,0
1750858200000,2025-06-25,TSLA,342.70,343.00,320.40,327.55,119845100,39255261042.05,0
1750771800000,2025-06-24,TSLA,356.17,356.26,340.44,340.47,114736200,39064234154.06,0
1750685400000,2025-06-23,TSLA,327.54,357.54,327.48,348.68,190716800,66499132427.15,0
1750426200000,2025-06-20,TSLA,327.95,332.36,317.78,322.16,108688000,35014926478.03,0
1750253400000,2025-06-18,TSLA,317.31,329.32,315.45,322.05,95137700,30639095123.65,0
1750167000000,2025-06-17,TSLA,326.09,327.26,314.74,316.35,88282700,27928232683.83,0
1750080600000,2025-06-16,TSLA,331.29,332.05,326.41,329.13,83925900,27622531876.79,0
1749821400000,2025-06-13,TSLA,313.97,332.99,313.30,325.31,128964300,41953376118.15,0
1749735000000,2025-06-12,TSLA,323.08,332.56,316.86,319.11,105127500,33547234985.05,0
1749648600000,2025-06-11,TSLA,334.40,335.50,322.50,326.43,122611400,40024038403.97,0
1749562200000,2025-06-10,TSLA,314.94,327.83,310.67,326.09,151256500,49323231531.08,0
1749475800000,2025-06-09,TSLA,285.96,309.83,281.85,308.58,140908900,43481666469.91,0
1749216600000,2025-06-06,TSLA,298.83,305.50,291.14,295.14,164747700,48623638591.30,0
1749130200000,2025-06-05,TSLA,322.49,324.55,273.21,284.70,287499800,81851196569.52,0
1749043800000,2025-06-04,TSLA,345.10,345.60,327.33,332.05,98912100,32843761597.58,0
1748957400000,2025-06-03,TSLA,346.60,355.40,343.04,344.27,99324500,34194444523.79,0
1748871000000,2025-06-02,TSLA,343.50,348.02,333.33,342.69,81873800,28057332721.89,0
1748611800000,2025-05-30,TSLA,355.52,363.68,345.29,346.46,123474900,42779112798.92,0
1748525400000,2025-05-29,TSLA,365.29,367.71,356.00,358.43,88087800,31573309508.83,0
1748439000000,2025-05-28,TSLA,364.84,365.00,355.91,356.90,91404300,32622194112.11,0
1748352600000,2025-05-27,TSLA,347.35,363.79,347.32,362.89,120146400,43599928855.96,0
1748007000000,2025-05-23,TSLA,337.92,343.18,333.21,339.34,84654800,28726759521.98,0
1747920600000,2025-05-22,TSLA,331.90,347.27,331.39,341.04,97113400,33119554765.83,0
1747834200000,2025-05-21,TSLA,344.43,347.35,332.20,334.62,102354800,34249962676.22,0
1747747800000,2025-05-20,TSLA,347.87,354.99,341.63,343.82,131715500,45286424174.71,0
1747661400000,2025-05-19,TSLA,336.30,343.00,333.37,342.09,88869900,30401503765.55,0
1747402200000,2025-05-16,TSLA,346.24,351.62,342.33,349.98,95895700,33561578139.54,0
1747315800000,2025-05-15,TSLA,340.34,346.14,334.72,342.82,97882600,33556113648.91,0
1747229400000,2025-05-14,TSLA,342.50,350.00,337.00,347.68,136997300,47631220260.60,0
1747143000000,2025-05-13,TSLA,320.00,337.59,316.80,334.07,136992600,45765118885.36,0
1747056600000,2025-05-12,TSLA,321.99,322.21,311.50,318.38,112826700,35921765296.91,0
1746797400000,2025-05-09,TSLA,290.21,307.04,290.00,298.26,132387800,39485986520.85,0
1746711000000,2025-05-08,TSLA,279.63,289.80,279.41,284.82,97539400,27781172622.40,0
1746624600000,2025-05-07,TSLA,276.88,277.92,271.00,276.22,71592600,19775308059.39,0
1746538200000,2025-05-06,TSLA,273.11,277.73,271.35,275.35,76715800,21123695998.24,0
1746451800000,2025-05-05,TSLA,284.57,284.85,274.40,280.26,94618900,26517893838.01,0
1746192600000,2025-05-02,TSLA,284.90,294.78,279.81,287.21,114454700,32872533408.99,0
1746106200000,2025-05-01,TSLA,280.01,290.87,279.81,280.52,99659000,27956341585.11,0
1746019800000,2025-04-30,TSLA,279.90,284.45,270.78,282.16,128961100,36387664448.27,0
1745933400000,2025-04-29,TSLA,285.50,293.32,279.47,292.03,108906600,31803994265.06,0
1745847000000,2025-04-28,TSLA,288.98,294.86,272.42,285.88,151731800,43377087724.88,0
1745587800000,2025-04-25,TSLA,261.69,286.85,259.63,284.95,167560700,47746423510.42,0
1745501400000,2025-04-24,TSLA,250.50,259.54,249.20,259.51,94464200,24514405464.50,0
1745415000000,2025-04-23,TSLA,254.86,259.45,244.43,250.74,150381900,37706758432.07,0
1745328600000,2025-04-22,TSLA,230.96,242.79,229.85,237.97,120858500,28760697392.53,0
1745242200000,2025-04-21,TSLA,230.26,232.21,222.79,227.50,97768000,22242220000.00,0
1744896600000,2025-04-17,TSLA,243.47,244.34,237.68,241.37,83404800,20131416168.75,0
1744810200000,2025-04-16,TSLA,247.61,251.97,233.89,241.55,112378700,27145075327.95,0
1744723800000,2025-04-15,TSLA,249.91,258.75,247.54,254.11,79594300,20225707621.58,0
1744637400000,2025-04-14,TSLA,258.36,261.80,245.93,252.35,100135200,25269118331.18,0
1744378200000,2025-04-11,TSLA,251.84,257.74,241.36,252.31,128948100,32534894796.19,0
1744291800000,2025-04-10,TSLA,260.00,262.49,239.33,252.40,181722600,45866783130.85,0
1744205400000,2025-04-09,TSLA,224.69,274.69,223.88,272.20,219433400,59729774158.63,0
1744119000000,2025-04-08,TSLA,245.00,250.44,217.80,221.86,171603500,38071952614.74,0
1744032600000,2025-04-07,TSLA,223.78,252.00,214.25,233.29,183453800,42797935770.32,0
1743773400000,2025-04-04,TSLA,255.38,261.00,236.00,239.43,181229400,43391753914.64,0
1743687000000,2025-04-03,TSLA,265.29,276.30,261.51,267.28,136174300,36396666737.77,0
1743600600000,2025-04-02,TSLA,254.60,284.99,251.27,282.76,212787800,60167880406.01,0
1743514200000,2025-04-01,TSLA,263.80,277.45,259.25,268.46,146486900,39325871922.28,0
1743427800000,2025-03-31,TSLA,249.31,260.56,243.36,259.16,134008900,34729747014.76,0
