https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume MSFT,Volume USDT,tradecount
1753450200000,2025-07-25,MSFT,512.47,518.29,510.36,513.71,19125700,9825063767.24,0
1753363800000,2025-07-24,MSFT,508.77,513.67,507.30,510.88,16107000,8228744238.65,0
1753277400000,2025-07-23,MSFT,506.75,506.79,500.70,505.87,16396600,8294547961.94,0
1753191000000,2025-07-22,MSFT,510.97,511.20,505.27,505.27,13868600,7007387369.64,0
1753104600000,2025-07-21,MSFT,506.71,512.09,505.55,510.06,14066800,7174911973.66,0
1752845400000,2025-07-18,MSFT,514.48,514.64,507.43,510.05,21209700,10818007226.09,0
1752759000000,2025-07-17,MSFT,505.68,513.37,505.62,511.70,17503100,8956336483.66,0
1752672600000,2025-07-16,MSFT,505.18,506.72,501.89,505.62,15154400,7662367654.00,0
1752586200000,2025-07-15,MSFT,503.02,508.30,502.79,505.82,14927200,7550476413.33,0
1752499800000,2025-07-14,MSFT,501.52,503.97,501.03,503.02,12058800,6065817443.52,0
1752240600000,2025-07-11,MSFT,498.47,505.03,497.80,503.32,16459500,8284395660.55,0
1752154200000,2025-07-10,MSFT,503.05,504.44,497.75,501.48,16492100,8270458489.19,0
1752067800000,2025-07-09,MSFT,500.30,506.78,499.74,503.51,18659500,9395245027.22,0
1751981400000,2025-07-08,MSFT,497.24,498.20,494.11,496.62,11846600,5883258434.16,0
1751895000000,2025-07-07,MSFT,497.38,498.75,495.23,497.72,13981600,6958921969.07,0
1751549400000,2025-07-03,MSFT,493.81,500.13,493.44,498.84,13984800,6976177580.79,0
1751463000000,2025-07-02,MSFT,489.99,493.50,488.70,491.09,16319600,8014392304.24,0
1751376600000,2025-07-01,MSFT,496.47,498.05,490.98,492.05,19945400,9814133826.53,0
1751290200000,2025-06-30,MSFT,497.04,500.76,495.33,497.41,28369000,14111024393.89,0
1751031000000,2025-06-27,MSFT,497.55,499.30,493.03,495.94,34539200,17129370932.32,0
1750944600000,2025-06-26,MSFT,492.98,498.04,492.81,497.45,21578900,10734424068.41,0
1750858200000,2025-06-25,MSFT,492.04,494.56,489.39,492.27,17495100,8612312684.79,0
1750771800000,2025-06-24,MSFT,488.95,491.85,486.80,490.11,22305600,10932197289.26,0
1750685400000,2025-06-23,MSFT,478.21,487.75,472.51,486.00,24864000,12083904000.00,0
1750426200000,2025-06-20,MSFT,482.23,483.46,476.87,477.40,37576200,17938877650.65,0
1750253400000,2025-06-18,MSFT,478.00,481.00,474.46,480.24,17526500,8416926188.84,0
1750167000000,2025-06-17,MSFT,475.40,478.74,474.08,478.04,15414100,7368556495.71,0
1750080600000,2025-06-16,MSFT,475.21,480.69,475.00,479.14,15626100,7487089782.90,0
1749821400000,2025-06-13,MSFT,476.41,479.18,472.76,474.96,16814500,7986214776.32,0
1749735000000,2025-06-12,MSFT,475.02,480.42,473.52,478.87,18950600,9074873729.47,0
1749648600000,2025-06-11,MSFT,470.02,475.47,469.66,472.62,16399200,7750589823.93,0
1749562200000,2025-06-10,MSFT,471.19,472.80,466.96,470.92,15375900,7240819034.46,0
